dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.229889,12.915317,0.000649,0.064890,3.244499,162.224929,3.141891
0.020000,17.229675,12.915317,0.000863,0.010713,-2.708847,-297.667264,3.141693
0.020000,17.225371,12.915317,0.005167,0.215191,10.223878,646.636249,3.141297
0.020000,17.216939,12.915322,0.013599,0.421607,10.320834,4.847771,3.140701
0.020000,17.205693,12.915337,0.024845,0.562290,7.034146,-164.334392,3.139904
0.020000,17.191631,12.915367,0.038907,0.703107,7.040857,0.335575,3.138903
0.020000,17.174750,12.915423,0.055789,0.844082,7.048723,0.393259,3.137696
0.020000,17.155045,12.915514,0.075494,0.985255,7.058675,0.497600,3.136278
0.020000,17.132512,12.915652,0.098027,1.126658,7.070128,0.572658,3.134646
0.020000,17.107146,12.915852,0.123393,1.268319,7.083033,0.645285,3.132794
0.020000,17.078942,12.916129,0.151599,1.410280,7.098082,0.752433,3.130718
0.020000,17.047893,12.916502,0.182650,1.552570,7.114499,0.820863,3.128410
0.020000,17.013992,12.916992,0.216555,1.695231,7.133032,0.926656,3.125865
0.020000,16.977232,12.917622,0.253321,1.838290,7.152985,0.997604,3.123074
0.020000,16.937604,12.918416,0.292957,1.981796,7.175261,1.113845,3.120030
0.020000,16.895100,12.919403,0.335472,2.125778,7.199135,1.193687,3.116724
0.020000,16.849710,12.920613,0.380878,2.270272,7.224703,1.278367,3.113147
0.020000,16.801426,12.922080,0.429184,2.415327,7.252726,1.401183,3.109287
0.020000,16.750237,12.923840,0.480404,2.560971,7.282216,1.474502,3.105134
0.020000,16.696132,12.925934,0.534549,2.707257,7.314297,1.604023,3.100677
0.020000,16.639101,12.928405,0.591633,2.854218,7.348031,1.686717,3.095902
0.020000,16.579133,12.931300,0.651671,3.001896,7.383927,1.794786,3.090797
0.020000,16.516217,12.934670,0.714678,3.150335,7.421947,1.900999,3.085348
0.020000,16.450340,12.938570,0.780669,3.299584,7.462415,2.023391,3.079539
0.020000,16.381493,12.943061,0.849663,3.449674,7.504532,2.105873,3.073355
0.020000,16.309664,12.948207,0.921676,3.600658,7.549167,2.231737,3.066780
0.020000,16.234843,12.954077,0.996728,3.752574,7.595808,2.332062,3.059796
0.020000,16.157018,12.960746,1.074837,3.905467,7.644668,2.443004,3.052385
0.020000,16.076183,12.968296,1.156024,4.059373,7.695275,2.530333,3.044529
0.020000,15.992327,12.976812,1.240311,4.214337,7.748203,2.646411,3.036207
0.020000,15.905446,12.986388,1.327719,4.370389,7.802627,2.721214,3.027401
0.020000,15.815533,12.997123,1.418270,4.527569,7.858992,2.818217,3.018089
0.020000,15.722586,13.009124,1.511988,4.685898,7.916464,2.873613,3.008250
0.020000,15.626607,13.022504,1.608896,4.845409,7.975542,2.953889,2.997862
0.020000,15.527597,13.037386,1.709019,5.006107,8.034887,2.967267,2.986903
0.020000,15.425564,13.053899,1.812379,5.168006,8.094978,3.004563,2.975351
0.020000,15.320521,13.072180,1.919001,5.331102,8.154772,2.989692,2.963183
0.020000,15.212484,13.092374,2.028908,5.495381,8.213978,2.960295,2.950379
0.020000,15.101478,13.114636,2.142125,5.660809,8.271391,2.870637,2.936917
0.020000,14.987534,13.139128,2.258671,5.827344,8.326732,2.767087,2.922776
0.020000,14.870690,13.166019,2.378570,5.994916,8.378621,2.594420,2.907937
0.020000,14.750996,13.195489,2.501838,6.163437,8.426024,2.370179,2.892382
0.020000,14.628511,13.227723,2.628494,6.332794,8.467838,2.090669,2.876097
0.020000,14.503305,13.262912,2.758551,6.502843,8.502470,1.731624,2.859069
0.020000,14.375463,13.301256,2.892020,6.673414,8.528564,1.304703,2.841287
0.020000,14.245083,13.342955,3.028906,6.844303,8.544439,0.793717,2.822746
0.020000,14.112279,13.388218,3.169211,7.015274,8.548533,0.204715,2.803444
0.020000,13.977180,13.437250,3.312932,7.186053,8.538941,-0.479603,2.783385
0.020000,13.839935,13.490260,3.460059,7.356340,8.514387,-1.227716,2.762579
0.020000,13.700708,13.547451,3.610575,7.525797,8.472815,-2.078568,2.741039
0.020000,13.559682,13.609024,3.764456,7.694065,8.413430,-2.969264,2.718789
0.020000,13.417059,13.675170,3.921671,7.860755,8.334484,-3.947290,2.695857
0.020000,13.273058,13.746070,4.082181,8.025474,8.235984,-4.925003,2.672279
0.020000,13.127912,13.821892,4.245937,8.187813,8.116920,-5.953221,2.648101
0.020000,12.981873,13.902786,4.412884,8.347374,7.978037,-6.944144,2.623372
0.020000,12.835202,13.988887,4.582960,8.503775,7.820071,-7.898266,2.598152
0.020000,12.688172,14.080305,4.756093,8.656655,7.644003,-8.803404,2.572505
0.020000,12.541062,14.177129,4.932207,8.805714,7.452946,-9.552877,2.546501
0.020000,12.394154,14.279423,5.111221,8.950691,7.248854,-10.204577,2.520218
0.020000,12.234354,14.399325,5.311002,9.989063,51.918585,2233.486525,2.471649
0.020000,12.065592,14.541420,5.531619,11.030838,52.088778,8.509675,2.411728
0.020000,11.902402,14.696762,5.756924,11.265239,11.720007,-2018.438568,2.349874
0.020000,11.746793,14.864580,5.985784,11.442995,8.887831,-141.608810,2.287131
0.020000,11.600576,15.043552,6.216891,11.555347,5.617605,-163.511305,2.224711
0.020000,11.465163,15.231910,6.448872,11.599070,2.186130,-171.573709,2.163881
0.020000,11.341422,15.427617,6.680417,11.577263,-1.090317,-163.822390,2.105853
0.020000,11.229628,15.628584,6.910385,11.498402,-3.943094,-142.638847,2.051681
0.020000,11.129499,15.832847,7.137870,11.374243,-6.207931,-113.241831,2.002201
0.020000,11.040296,16.038699,7.362219,11.217440,-7.840146,-81.610749,1.958017
0.020000,10.960962,16.244742,7.583008,11.039425,-8.900766,-53.030991,1.919519
0.020000,10.890244,16.449877,7.799990,10.849119,-9.515291,-30.726264,1.886934
0.020000,10.826796,16.653259,8.013039,10.652426,-9.834653,-15.968081,1.860380
0.020000,10.769251,16.854228,8.222084,10.452271,-10.007759,-8.655313,1.839919
0.020000,10.716262,17.052241,8.427064,10.249024,-10.162353,-7.729698,1.825608
0.020000,10.666528,17.246803,8.627883,10.040906,-10.405896,-12.177148,1.817537
0.020000,10.618799,17.437408,8.824373,9.824509,-10.819844,-20.697394,1.815856
0.020000,10.571886,17.623489,9.016276,9.595186,-11.466138,-32.314710,1.820805
0.020000,10.524667,17.804378,9.203227,9.347513,-12.383662,-45.876196,1.832722
0.020000,10.476094,17.979275,9.384744,9.075841,-13.583586,-59.996220,1.852049
0.020000,10.425216,18.147242,9.560247,8.775159,-15.034107,-72.526052,1.879320
0.020000,10.371418,18.306642,9.728481,8.411704,-18.172741,-156.931707,1.914974
0.020000,10.314656,18.455066,9.887388,7.945369,-23.316769,-257.201387,1.958994
0.020000,10.255125,18.590839,10.035638,7.412504,-26.643252,-166.324166,2.010930
0.020000,10.192879,18.713741,10.173405,6.888316,-26.209372,21.694043,2.070144
0.020000,10.127873,18.824368,10.301717,6.415629,-23.634359,128.750613,2.135686
0.020000,10.059953,18.923765,10.422103,6.019311,-19.815923,190.921827,2.206147
0.020000,9.988746,19.013331,10.536526,5.721147,-14.908201,245.386096,2.279716
0.020000,9.913627,19.094601,10.647196,5.533477,-9.383464,276.236824,2.354353
0.020000,9.817429,19.185784,10.779742,6.627296,54.690923,3203.719346,2.399322
0.020000,9.704622,19.285919,10.930580,7.541905,45.730459,-448.023161,2.432106
0.020000,9.590781,19.380459,11.078559,7.398961,-7.147177,-2643.881832,2.465133
0.020000,9.475998,19.469534,11.223849,7.264516,-6.722263,21.245727,2.498248
0.020000,9.360367,19.553287,11.366626,7.138817,-6.284977,21.864279,2.531286
0.020000,9.243978,19.631879,11.507065,7.021974,-5.842127,22.142504,2.564086
0.020000,9.126918,19.705483,11.645342,6.913833,-5.407049,21.753893,2.596487
0.020000,9.009277,19.774279,11.781622,6.814021,-4.990623,20.821297,2.628335
0.020000,8.891146,19.838455,11.916060,6.721880,-4.607040,19.179150,2.659488
0.020000,8.772619,19.898200,12.048793,6.636679,-4.260039,17.350075,2.689819
0.020000,8.653795,19.953709,12.179944,6.557511,-3.958408,15.081530,2.719215
0.020000,8.534778,20.005173,12.309611,6.483386,-3.706227,12.609075,2.747585
0.020000,8.415676,20.052786,12.437877,6.413303,-3.504157,10.103484,2.774852
0.020000,8.296603,20.096738,12.564803,6.346270,-3.351642,7.625746,2.800962
0.020000,8.177678,20.137220,12.690430,6.281338,-3.246610,5.251618,2.825875
0.020000,8.059019,20.174419,12.814782,6.217632,-3.185291,3.065935,2.849568
0.020000,7.940750,20.208519,12.937870,6.154376,-3.162808,1.124127,2.872033
0.020000,7.822990,20.239701,13.059688,6.090888,-3.174388,-0.578993,2.893275
0.020000,7.705862,20.268143,13.180220,6.026595,-3.214650,-2.013106,2.913308
0.020000,7.589484,20.294019,13.299440,5.961025,-3.278538,-3.194376,2.932156
0.020000,7.473969,20.317496,13.417316,5.893798,-3.361319,-4.139040,2.949849
0.020000,7.359430,20.338739,13.533808,5.824624,-3.458713,-4.869695,2.966424
0.020000,7.245972,20.357906,13.648874,5.753287,-3.566875,-5.408105,2.981920
0.020000,7.133695,20.375147,13.762467,5.679636,-3.682521,-5.782316,2.996380
0.020000,7.022696,20.390610,13.874538,5.603578,-3.802931,-6.020513,3.009848
0.020000,6.913062,20.404433,13.985040,5.525058,-3.925977,-6.152284,3.022370
0.020000,6.804880,20.416749,14.093921,5.444067,-4.049563,-6.179281,3.033991
0.020000,6.698226,20.427683,14.201133,5.360620,-4.172331,-6.138395,3.044757
0.020000,6.593176,20.437354,14.306628,5.274748,-4.293627,-6.064819,3.054712
0.020000,6.489796,20.445875,14.410359,5.186515,-4.411630,-5.900164,3.063901
0.020000,6.388151,20.453351,14.512278,5.095977,-4.526878,-5.762398,3.072365
0.020000,6.288300,20.459880,14.612343,5.003220,-4.637869,-5.549524,3.080145
0.020000,6.190298,20.465555,14.710509,4.908312,-4.745395,-5.376312,3.087282
0.020000,6.094196,20.470461,14.806736,4.811347,-4.848238,-5.142173,3.093813
0.020000,6.000042,20.474678,14.900984,4.712401,-4.947311,-4.953632,3.099775
0.020000,5.907882,20.478281,14.993215,4.611562,-5.041970,-4.732957,3.105203
0.020000,5.817755,20.481337,15.083393,4.508909,-5.132659,-4.534459,3.110130
0.020000,5.729702,20.483909,15.171484,4.404526,-5.219132,-4.323649,3.114588
0.020000,5.643759,20.486055,15.257453,4.298484,-5.302108,-4.148777,3.118607
0.020000,5.559961,20.487828,15.341271,4.190867,-5.380850,-3.937115,3.122218
0.020000,5.478339,20.489276,15.422905,4.081736,-5.456560,-3.785503,3.125447
0.020000,5.398924,20.490443,15.502329,3.971170,-5.528296,-3.586790,3.128322
0.020000,5.321745,20.491367,15.579513,3.859227,-5.597113,-3.440855,3.130868
0.020000,5.246829,20.492085,15.654433,3.745972,-5.662749,-3.281781,3.133108
0.020000,5.174202,20.492629,15.727062,3.631463,-5.725474,-3.136251,3.135066
0.020000,5.103888,20.493027,15.797377,3.515759,-5.785208,-2.986687,3.136765
0.020000,5.035910,20.493305,15.865356,3.398913,-5.842291,-2.854153,3.138225
0.020000,4.970291,20.493484,15.930975,3.280978,-5.896753,-2.723129,3.139466
0.020000,4.907051,20.493585,15.994215,3.161999,-5.948924,-2.608554,3.140507
0.020000,4.846210,20.493624,16.055056,3.042032,-5.998362,-2.471903,3.141368
0.020000,4.787788,20.493616,16.113478,2.921118,-6.045710,-2.367399,3.142065
0.020000,4.731802,20.493574,16.169464,2.799303,-6.090724,-2.250683,3.142615
0.020000,4.678269,20.493507,16.222997,2.676631,-6.133625,-2.145067,3.143033
0.020000,4.627206,20.493426,16.274060,2.553145,-6.174288,-2.033115,3.143336
0.020000,4.578629,20.493336,16.322637,2.428886,-6.212957,-1.933456,3.143536
0.020000,4.532551,20.493243,16.368715,2.303895,-6.249538,-1.829067,3.143648
0.020000,4.488987,20.493153,16.412280,2.178213,-6.284121,-1.729147,3.143684
0.020000,4.447949,20.493067,16.453317,2.051879,-6.316710,-1.629460,3.143657
0.020000,4.409451,20.492989,16.491816,1.924932,-6.347324,-1.530674,3.143578
0.020000,4.373503,20.492920,16.527764,1.797412,-6.376007,-1.434171,3.143457
0.020000,4.340115,20.492860,16.561151,1.669358,-6.402716,-1.335465,3.143303
0.020000,4.309299,20.492810,16.591967,1.540807,-6.427546,-1.241500,3.143128
0.020000,4.281063,20.492769,16.620203,1.411800,-6.450356,-1.140482,3.142938
0.020000,4.255416,20.492737,16.645851,1.282374,-6.471300,-1.047216,3.142741
0.020000,4.232365,20.492713,16.668902,1.152566,-6.490367,-0.953309,3.142545
0.020000,4.211916,20.492695,16.689350,1.022419,-6.507374,-0.850387,3.142356
0.020000,4.194077,20.492683,16.707190,0.891968,-6.522526,-0.757603,3.142179
0.020000,4.178852,20.492676,16.722415,0.761252,-6.535803,-0.663845,3.142019
0.020000,4.166246,20.492671,16.735021,0.630311,-6.547040,-0.561852,3.141881
0.020000,4.156262,20.492669,16.745005,0.499183,-6.556420,-0.469011,3.141768
0.020000,4.148904,20.492668,16.752363,0.367908,-6.563769,-0.367416,3.141682
0.020000,4.144173,20.492668,16.757093,0.236524,-6.569200,-0.271543,3.141626
0.020000,4.141940,20.492668,16.759327,0.111672,-6.242583,16.330835,3.141599
0.020000,4.141414,20.492668,16.759852,0.026268,-4.270193,98.619505,3.141593
0.020000,4.141414,20.492668,16.759852,0.000000,-1.313410,147.839155,3.141593
