dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.229243,15.081983,0.000649,0.064890,3.244499,162.224929,3.141891
0.020000,17.229458,15.081983,0.000863,0.010713,-2.708847,-297.667264,3.141693
0.020000,17.226012,15.081984,0.004309,0.172276,8.078155,539.350064,3.141297
0.020000,17.218871,15.081988,0.011450,0.357075,9.239944,58.089465,3.140701
0.020000,17.209352,15.082000,0.020969,0.475947,5.943596,-164.817400,3.139904
0.020000,17.197458,15.082026,0.032863,0.594694,5.937343,-0.312637,3.138903
0.020000,17.183192,15.082073,0.047128,0.713275,5.929041,-0.415133,3.137696
0.020000,17.166559,15.082150,0.063762,0.831664,5.919449,-0.479597,3.136278
0.020000,17.147563,15.082266,0.082758,0.949824,5.908038,-0.570547,3.134646
0.020000,17.126209,15.082434,0.104113,1.067719,5.894728,-0.665483,3.132794
0.020000,17.102504,15.082667,0.127819,1.185320,5.880056,-0.733591,3.130718
0.020000,17.076454,15.082981,0.153871,1.302586,5.863320,-0.836802,3.128410
0.020000,17.048068,15.083391,0.182261,1.419488,5.845093,-0.911349,3.125865
0.020000,17.017352,15.083917,0.212980,1.535983,5.824732,-1.018080,3.123074
0.020000,16.984318,15.084579,0.246021,1.652042,5.802930,-1.090064,3.120030
0.020000,16.948975,15.085399,0.281373,1.767622,5.779014,-1.195827,3.116724
0.020000,16.911335,15.086403,0.319027,1.882682,5.752996,-1.300863,3.113147
0.020000,16.871410,15.087616,0.358971,1.997191,5.725441,-1.377761,3.109287
0.020000,16.829213,15.089067,0.401193,2.111100,5.695457,-1.499193,3.105134
0.020000,16.784758,15.090787,0.445680,2.224378,5.663906,-1.577580,3.100677
0.020000,16.738063,15.092810,0.492420,2.336977,5.629949,-1.697847,3.095902
0.020000,16.689142,15.095172,0.541397,2.448856,5.593947,-1.800066,3.090797
0.020000,16.638016,15.097910,0.592597,2.559972,5.555822,-1.906284,3.085348
0.020000,16.584704,15.101067,0.646002,2.670288,5.515797,-2.001249,3.079539
0.020000,16.529227,15.104685,0.701597,2.779752,5.473206,-2.129536,3.073355
0.020000,16.471608,15.108813,0.759364,2.888327,5.428756,-2.222520,3.066780
0.020000,16.411872,15.113499,0.819283,2.995969,5.382063,-2.334639,3.059796
0.020000,16.350046,15.118797,0.881336,3.102636,5.333364,-2.434935,3.052385
0.020000,16.286158,15.124764,0.945502,3.208284,5.282394,-2.548520,3.044529
0.020000,16.220240,15.131458,1.011759,3.312879,5.229770,-2.631185,3.036207
0.020000,16.152323,15.138943,1.080087,3.416380,5.175066,-2.735185,3.027401
0.020000,16.082444,15.147286,1.150462,3.518759,5.118934,-2.806608,3.018089
0.020000,16.010641,15.156557,1.222862,3.619981,5.061115,-2.890940,3.008250
0.020000,15.936953,15.166829,1.297262,3.720031,5.002492,-2.931178,2.997862
0.020000,15.861423,15.178181,1.373640,3.818884,4.942649,-2.992145,2.986903
0.020000,15.784099,15.190695,1.451971,3.916539,4.882713,-2.996805,2.975351
0.020000,15.705027,15.204455,1.532231,4.012995,4.822799,-2.995693,2.963183
0.020000,15.624260,15.219552,1.614396,4.108270,4.763776,-2.951133,2.950379
0.020000,15.541853,15.236078,1.698444,4.202390,4.706022,-2.887730,2.936917
0.020000,15.457863,15.254130,1.784352,4.295407,4.650819,-2.760133,2.922776
0.020000,15.372351,15.273810,1.872100,4.387384,4.598853,-2.598315,2.907937
0.020000,15.285380,15.295222,1.961668,4.478410,4.551306,-2.377342,2.892382
0.020000,15.197016,15.318475,2.053040,4.568601,4.509539,-2.088361,2.876097
0.020000,15.107329,15.343681,2.146202,4.658097,4.474784,-1.737715,2.859069
0.020000,15.016389,15.370955,2.241143,4.747070,4.448651,-1.306683,2.841287
0.020000,14.924271,15.400417,2.337858,4.835723,4.432680,-0.798561,2.822746
0.020000,14.831051,15.432187,2.436344,4.924295,4.428612,-0.203397,2.803444
0.020000,14.736805,15.466392,2.536605,5.013055,4.437982,0.468534,2.783385
0.020000,14.641612,15.503158,2.638651,5.102309,4.462711,1.236438,2.762579
0.020000,14.545552,15.542616,2.742499,5.192389,4.504000,2.064423,2.741039
0.020000,14.448707,15.584899,2.848172,5.283662,4.563615,2.980750,2.718789
0.020000,14.351157,15.630139,2.955702,5.376506,4.642209,3.929736,2.695857
0.020000,14.252984,15.678475,3.065129,5.471326,4.741032,4.941135,2.672279
