dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.649240,18.427826,0.000652,0.065190,3.259520,162.975989,0.000128
0.020000,3.649283,18.427826,0.000695,0.002139,-3.152566,-320.604305,0.000088
0.020000,3.649369,18.427826,0.000780,0.004282,0.107158,162.986224,0.000009
0.020000,3.656709,18.427826,0.008121,0.367019,18.136848,901.484467,6.283076
0.020000,3.667311,18.427824,0.018723,0.530120,8.155049,-499.089922,6.282917
0.020000,3.680565,18.427819,0.031977,0.662682,6.628110,-76.346937,6.282718
0.020000,3.696470,18.427810,0.047882,0.795263,6.629024,0.045673,6.282479
0.020000,3.715028,18.427794,0.066439,0.927870,6.630355,0.066564,6.282198
0.020000,3.736238,18.427770,0.087650,1.060506,6.631798,0.072155,6.281875
0.020000,3.760101,18.427734,0.111513,1.193173,6.633352,0.077709,6.281511
0.020000,3.786619,18.427684,0.138031,1.325880,6.635352,0.099972,6.281103
0.020000,3.815791,18.427617,0.167203,1.458626,6.637313,0.098069,6.280652
0.020000,3.847620,18.427529,0.199032,1.591420,6.639699,0.119300,6.280157
0.020000,3.882105,18.427415,0.233517,1.724261,6.642056,0.117830,6.279615
0.020000,3.919247,18.427271,0.270660,1.857158,6.644836,0.139015,6.279028
0.020000,3.959049,18.427093,0.310462,1.990113,6.647736,0.144976,6.278393
0.020000,4.001511,18.426875,0.352925,2.123129,6.650793,0.152861,6.277709
0.020000,4.046635,18.426612,0.398049,2.256212,6.654175,0.169130,6.276975
0.020000,4.094421,18.426296,0.445836,2.389367,6.657753,0.178886,6.276191
0.020000,4.144872,18.425922,0.496288,2.522596,6.661449,0.184811,6.275353
0.020000,4.197988,18.425482,0.549406,2.655904,6.665404,0.197720,6.274462
0.020000,4.253772,18.424969,0.605192,2.789296,6.669604,0.210002,6.273515
0.020000,4.312224,18.424375,0.663648,2.922776,6.673986,0.219104,6.272510
0.020000,4.373347,18.423690,0.724775,3.056348,6.678618,0.231624,6.271447
0.020000,4.437143,18.422905,0.788575,3.190017,6.683417,0.239916,6.270323
0.020000,4.503612,18.422011,0.855051,3.323787,6.688495,0.253933,6.269137
0.020000,4.572758,18.420996,0.924204,3.457660,6.693690,0.259718,6.267886
0.020000,4.644582,18.419850,0.996037,3.591646,6.699269,0.278976,6.266568
0.020000,4.719086,18.418560,1.070552,3.725743,6.704880,0.280533,6.265182
0.020000,4.796271,18.417115,1.147751,3.859959,6.710799,0.295971,6.263725
0.020000,4.876141,18.415499,1.227637,3.994300,6.717037,0.311893,6.262195
0.020000,4.958697,18.413700,1.310212,4.128766,6.723297,0.313013,6.260590
0.020000,5.043941,18.411702,1.395480,4.263364,6.729890,0.329620,6.258906
0.020000,5.131875,18.409489,1.483442,4.398099,6.736744,0.342699,6.257143
0.020000,5.222501,18.407045,1.574101,4.532973,6.743707,0.348166,6.255296
0.020000,5.315822,18.404352,1.667461,4.667994,6.751034,0.366353,6.253364
0.020000,5.411840,18.401391,1.763524,4.803163,6.758481,0.372353,6.251343
0.020000,5.510556,18.398142,1.862294,4.938486,6.766123,0.382110,6.249231
0.020000,5.611973,18.394585,1.963773,5.073968,6.774100,0.398811,6.247025
0.020000,5.716093,18.390699,2.067966,5.209613,6.782260,0.408010,6.244722
0.020000,5.822917,18.386460,2.174874,5.345424,6.790542,0.414106,6.242318
0.020000,5.932448,18.381844,2.284502,5.481408,6.799221,0.433938,6.239811
0.020000,6.044687,18.376826,2.396853,5.617567,6.807943,0.436121,6.237197
0.020000,6.159637,18.371380,2.511932,5.753907,6.817004,0.453036,6.234474
0.020000,6.277297,18.365477,2.629740,5.890431,6.826205,0.460079,6.231636
0.020000,6.397671,18.359089,2.750283,6.027145,6.835677,0.473560,6.228682
0.020000,6.520758,18.352184,2.873564,6.164051,6.845306,0.481466,6.225608
0.020000,6.646561,18.344731,2.999587,6.301154,6.855163,0.492856,6.222409
0.020000,6.775079,18.336697,3.128356,6.438458,6.865188,0.501228,6.219083
0.020000,6.906314,18.328046,3.259876,6.575966,6.875415,0.511350,6.215625
0.020000,7.040264,18.318741,3.394149,6.713683,6.885834,0.520984,6.212031
0.020000,7.176932,18.308745,3.531182,6.851612,6.896440,0.530278,6.208298
0.020000,7.316314,18.298016,3.670977,6.989755,6.907177,0.536859,6.204422
0.020000,7.458412,18.286514,3.813539,7.128117,6.918089,0.545577,6.200399
0.020000,7.603223,18.274195,3.958873,7.266699,6.929115,0.551336,6.196224
0.020000,7.750745,18.261013,4.106983,7.405505,6.940293,0.558874,6.191893
0.020000,7.900976,18.246920,4.257874,7.544536,6.951550,0.562867,6.187403
0.020000,8.053913,18.231869,4.411550,7.683795,6.962947,0.569835,6.182749
0.020000,8.209552,18.215806,4.568015,7.823282,6.974350,0.570169,6.177927
0.020000,8.367889,18.198679,4.727275,7.962999,6.985860,0.575470,6.172932
0.020000,8.528917,18.180433,4.889334,8.102946,6.997356,0.574819,6.167761
0.020000,8.692631,18.161009,5.054197,8.243123,7.008853,0.574868,6.162409
0.020000,8.859024,18.140348,5.221867,8.383530,7.020326,0.573650,6.156872
0.020000,9.028087,18.118388,5.392351,8.524164,7.031713,0.569333,6.151145
0.020000,9.199811,18.095065,5.565651,8.665025,7.043014,0.565069,6.145225
0.020000,9.374185,18.070312,5.741773,8.806107,7.054146,0.556580,6.139108
0.020000,9.551197,18.044061,5.920722,8.947410,7.065115,0.548473,6.132788
0.020000,9.730834,18.016240,6.102500,9.088927,7.075859,0.537170,6.126264
0.020000,9.913081,17.986777,6.287113,9.230651,7.086192,0.516661,6.119529
0.020000,10.097921,17.955595,6.474565,9.372578,7.096376,0.509214,6.112582
0.020000,10.285336,17.922618,6.664859,9.514699,7.106053,0.483834,6.105417
0.020000,10.475305,17.887765,6.857999,9.657004,7.115240,0.459372,6.098033
0.020000,10.667807,17.850953,7.053988,9.799484,7.124008,0.438399,6.090425
0.020000,10.862816,17.812099,7.252831,9.942124,7.131984,0.398770,6.082591
0.020000,11.060307,17.771115,7.454529,10.084912,7.139405,0.371041,6.074528
0.020000,11.259584,17.728061,7.658404,10.193734,5.441079,-84.916309,6.066261
0.020000,11.458752,17.683291,7.862543,10.206938,0.660216,-239.043122,6.057868
