dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.484376,8.585402,0.000656,0.065557,3.277840,163.891997,6.283144
0.020000,1.484401,8.585402,0.000680,0.001231,-3.216283,-324.706169,6.283167
0.020000,1.487515,8.585402,0.003794,0.155700,7.723419,546.985126,0.000026
0.020000,1.495454,8.585402,0.011733,0.396932,12.061622,216.910148,0.000093
0.020000,1.506036,8.585404,0.022315,0.529123,6.609549,-272.603634,0.000179
0.020000,1.519260,8.585407,0.035540,0.661212,6.604438,-0.255563,0.000283
0.020000,1.535124,8.585412,0.051403,0.793173,6.598049,-0.319448,0.000403
0.020000,1.553623,8.585421,0.069903,0.924980,6.590365,-0.384183,0.000535
0.020000,1.574755,8.585434,0.091035,1.056608,6.581419,-0.447345,0.000678
0.020000,1.598516,8.585451,0.114795,1.188032,6.571188,-0.511515,0.000825
0.020000,1.624901,8.585475,0.141180,1.319226,6.559679,-0.575449,0.000975
0.020000,1.653904,8.585506,0.170183,1.450164,6.546903,-0.638834,0.001121
0.020000,1.685520,8.585543,0.201800,1.580821,6.532839,-0.703197,0.001259
0.020000,1.719744,8.585589,0.236023,1.711171,6.517512,-0.766354,0.001382
0.020000,1.756567,8.585642,0.272847,1.841189,6.500897,-0.830735,0.001485
0.020000,1.795984,8.585702,0.312264,1.970849,6.483015,-0.894099,0.001562
0.020000,1.837987,8.585768,0.354266,2.100126,6.463849,-0.958310,0.001605
0.020000,1.882567,8.585840,0.398846,2.228994,6.443406,-1.022112,0.001606
0.020000,1.929715,8.585915,0.445995,2.357428,6.421681,-1.086278,0.001557
0.020000,1.979423,8.585990,0.495703,2.485401,6.398672,-1.150467,0.001451
0.020000,2.031681,8.586061,0.547960,2.612889,6.374369,-1.215110,0.001278
0.020000,2.086478,8.586125,0.602758,2.739864,6.348784,-1.279279,0.001028
0.020000,2.143804,8.586175,0.660084,2.866302,6.321890,-1.344675,0.000692
0.020000,2.203648,8.586204,0.719927,2.992176,6.293688,-1.410112,0.000260
0.020000,2.265997,8.586203,0.782277,3.117459,6.264179,-1.475471,6.282905
0.020000,2.330839,8.586164,0.847119,3.242126,6.233342,-1.541819,6.282245
0.020000,2.398162,8.586075,0.914442,3.366150,6.201170,-1.608596,6.281455
0.020000,2.467952,8.585922,0.984232,3.489503,6.167657,-1.675679,6.280522
0.020000,2.540195,8.585691,1.056475,3.612158,6.132779,-1.743888,6.279432
0.020000,2.614876,8.585365,1.131157,3.734089,6.096533,-1.812299,6.278173
0.020000,2.691980,8.584924,1.208262,3.855267,6.058910,-1.881134,6.276730
0.020000,2.771491,8.584346,1.287776,3.975664,6.019862,-1.952417,6.275090
0.020000,2.853393,8.583608,1.369681,4.095253,5.979411,-2.022556,6.273237
0.020000,2.937668,8.582684,1.453961,4.214004,5.937558,-2.092663,6.271155
0.020000,3.024298,8.581542,1.540599,4.331888,5.894213,-2.167218,6.268829
0.020000,3.113265,8.580151,1.629576,4.448877,5.849465,-2.237396,6.266243
0.020000,3.204548,8.578475,1.720875,4.564942,5.803248,-2.310885,6.263379
0.020000,3.298128,8.576475,1.814476,4.680053,5.755534,-2.385697,6.260219
0.020000,3.393982,8.574109,1.910360,4.794182,5.706445,-2.454431,6.256746
0.020000,3.492089,8.571330,2.008506,4.907298,5.655827,-2.530897,6.252941
0.020000,3.592424,8.568088,2.108893,5.019376,5.603885,-2.597107,6.248784
0.020000,3.694963,8.564329,2.211501,5.130386,5.550492,-2.669651,6.244256
0.020000,3.799679,8.559995,2.316307,5.240303,5.495854,-2.731896,6.239336
0.020000,3.906546,8.555023,2.423289,5.349101,5.439910,-2.797199,6.234005
0.020000,4.015533,8.549347,2.532424,5.456759,5.382899,-2.850562,6.228241
0.020000,4.126611,8.542894,2.643689,5.563256,5.324819,-2.904016,6.222022
0.020000,4.239747,8.535589,2.757061,5.668575,5.265978,-2.942006,6.215327
0.020000,4.354907,8.527350,2.872515,5.772704,5.206456,-2.976099,6.208134
0.020000,4.472054,8.518091,2.990028,5.875637,5.146622,-2.991731,6.200421
0.020000,4.591151,8.507720,3.109575,5.977371,5.086731,-2.994536,6.192165
0.020000,4.712157,8.496142,3.231133,6.077915,5.027186,-2.977234,6.183345
0.020000,4.835028,8.483254,3.354679,6.177284,4.968438,-2.937400,6.173939
0.020000,4.959721,8.468950,3.480189,6.275505,4.911034,-2.870233,6.163926
0.020000,5.086186,8.453119,3.607641,6.372616,4.855592,-2.772109,6.153286
0.020000,5.214373,8.435642,3.737015,6.468672,4.802768,-2.641188,6.141998
0.020000,5.344230,8.416398,3.868290,6.563741,4.753451,-2.465844,6.130045
0.020000,5.475700,8.395260,4.001448,6.657912,4.708573,-2.243884,6.117409
0.020000,5.608724,8.372097,4.136474,6.751294,4.669105,-1.973427,6.104078
0.020000,5.743241,8.346772,4.273354,6.844014,4.635961,-1.657185,6.090037
0.020000,5.879187,8.319146,4.412079,6.936229,4.610795,-1.258315,6.075279
0.020000,6.016495,8.289075,4.552641,7.028118,4.594407,-0.819405,6.059797
0.020000,6.155096,8.256410,4.695039,7.119886,4.588427,-0.298963,6.043588
0.020000,6.294918,8.221003,4.839274,7.211760,4.593681,0.262668,6.026655
0.020000,6.435886,8.182699,4.985354,7.304007,4.612379,0.934895,6.009005
0.020000,6.577927,8.141343,5.133292,7.396903,4.644760,1.619081,5.990649
0.020000,6.692804,8.104308,5.253992,6.035007,-68.094757,-3636.975864,5.950952
0.020000,6.812683,8.060101,5.381763,6.388517,17.675485,4288.512124,5.909146
0.020000,6.934029,8.009559,5.513213,6.572509,9.199613,-423.793612,5.868316
0.020000,7.057011,7.952438,5.648813,6.779998,10.374456,58.742114,5.828895
0.020000,7.181780,7.888530,5.788998,7.009238,11.462000,54.377210,5.791286
0.020000,7.308471,7.817678,5.934154,7.257843,12.430225,48.411245,5.755844
0.020000,7.437201,7.739787,6.084615,7.523014,13.258544,41.415944,5.722878
0.020000,7.568082,7.654829,6.240652,7.801881,13.943374,34.241542,5.692638
0.020000,7.701234,7.562845,6.402487,8.091736,14.492755,27.469019,5.665327
0.020000,7.836795,7.463943,6.570292,8.390247,14.925515,21.638018,5.641107
0.020000,7.974935,7.358291,6.744203,8.695560,15.265646,17.006551,5.620101
0.020000,8.115870,7.246115,6.924331,9.006384,15.541230,13.779195,5.602413
0.020000,8.259869,7.127693,7.110770,9.321978,15.779695,11.923243,5.588129
0.020000,8.407267,7.003345,7.303613,9.642142,16.008208,11.425671,5.577335
0.020000,8.558470,6.873440,7.502956,9.967146,16.250204,12.099775,5.570120
0.020000,8.713963,6.738389,7.708910,10.297685,16.526944,13.837010,5.566587
0.020000,8.874319,6.598656,7.921606,10.634789,16.855198,16.412688,5.566856
0.020000,9.040199,6.454761,8.141201,10.979744,17.247715,19.625882,5.571073
0.020000,9.212359,6.307301,8.367880,11.333978,17.711722,23.200332,5.579410
0.020000,9.391649,6.156965,8.601858,11.698916,18.246899,26.758860,5.592065
0.020000,9.579009,6.004564,8.843374,12.075785,18.843438,29.826945,5.609257
0.020000,9.775455,5.851062,9.092681,12.465326,19.477054,31.680798,5.631223
0.020000,9.982052,5.697616,9.350029,12.867411,20.104267,31.360663,5.658194
0.020000,10.199873,5.545617,9.615640,13.280565,20.657684,27.670834,5.690375
0.020000,10.429924,5.396730,9.889667,13.701364,21.039961,19.113855,5.727908
0.020000,10.673052,5.252917,10.172144,14.123846,21.124120,4.207932,5.770826
0.020000,10.929811,5.116430,10.462926,14.539086,20.761981,-18.106955,5.818995
0.020000,11.200327,4.989760,10.761631,14.935225,19.806936,-47.752234,5.872064
0.020000,11.484162,4.875515,11.067595,15.298217,18.149615,-82.866055,5.929419
0.020000,11.780232,4.776239,11.379866,15.613556,15.766969,-119.132309,5.990181
0.020000,12.086815,4.694175,11.697242,15.868789,12.761614,-150.267751,6.053239
0.020000,12.373699,4.634197,11.990328,14.654334,-60.722741,-3674.217711,6.095495
0.020000,12.659016,4.584839,12.279884,14.477769,-8.828265,2594.723762,6.127995
0.020000,12.946524,4.544430,12.570217,14.516650,1.944062,538.616368,6.158790
0.020000,13.234899,4.512630,12.860340,14.506165,-0.524237,-123.414951,6.187575
0.020000,13.521899,4.488983,13.148313,14.398651,-5.375686,-242.572451,6.214011
0.020000,13.805422,4.472786,13.432298,14.199230,-9.971073,-229.769349,6.237853
0.020000,14.084084,4.463149,13.711127,13.941439,-12.889526,-145.922666,6.258993
0.020000,14.357337,4.459110,13.984410,13.664157,-13.864131,-48.730239,6.277432
0.020000,14.625140,4.459736,14.252213,13.390171,-13.699269,8.243082,0.010048
0.020000,14.887506,4.464158,14.514616,13.120166,-13.500291,9.948942,0.023284
0.020000,15.144489,4.471573,14.771707,12.854519,-13.282304,10.899323,0.034035
0.020000,15.396171,4.481240,15.023574,12.593382,-13.056852,11.272618,0.042386
0.020000,15.642650,4.492483,15.270309,12.336738,-12.832198,11.232682,0.048419
0.020000,15.884031,4.504681,15.511998,12.084461,-12.613874,10.916196,0.052215
0.020000,16.120423,4.517271,15.748726,11.836357,-12.405191,10.434144,0.053850
0.020000,16.351932,4.529737,15.980570,11.592206,-12.207542,9.882471,0.053399
0.020000,16.578657,4.541614,16.207606,11.351788,-12.020924,9.330899,0.050931
0.020000,16.794871,4.552204,16.424079,10.823672,-26.405808,-719.244227,0.046205
0.020000,17.000914,4.559928,16.630267,10.309400,-25.713585,34.611173,0.029336
0.020000,17.208169,4.564559,16.837573,10.365298,2.794920,1425.425253,0.015918
0.020000,17.416409,4.566763,17.045825,10.412612,2.365705,-21.460754,0.005793
0.020000,17.625445,4.567190,17.254862,10.451818,1.960252,-20.272630,6.281998
0.020000,17.835116,4.566473,17.464533,10.483587,1.588483,-18.588479,6.278024
0.020000,18.045285,4.565224,17.674707,10.508669,1.254087,-16.719769,6.276934
0.020000,18.255838,4.564038,17.885263,10.527816,0.957331,-14.837847,6.278618
0.020000,18.466672,4.563488,18.096097,10.541719,0.695195,-13.106770,6.282979
0.020000,18.677690,4.564133,18.307117,10.550969,0.462476,-11.635976,0.006746
0.020000,18.888797,4.566513,18.518237,10.556022,0.252632,-10.492188,0.016213
0.020000,19.099890,4.571151,18.729380,10.557165,0.057152,-9.773986,0.028122
0.020000,19.310850,4.578552,18.940471,10.554508,-0.132833,-9.499250,0.042403
0.020000,19.521540,4.589202,19.151430,10.547965,-0.327127,-9.714707,0.058984
0.020000,19.731795,4.603564,19.362175,10.537230,-0.536790,-10.483147,0.077789
0.020000,19.941415,4.622075,19.572610,10.521791,-0.771940,-11.757526,0.098729
0.020000,20.150163,4.645141,19.782629,10.500932,-1.042964,-13.551183,0.121706
0.020000,20.357761,4.673125,19.992104,10.473748,-1.359160,-15.809782,0.146602
0.020000,20.563884,4.706345,20.200888,10.439188,-1.728014,-18.442708,0.173281
0.020000,20.768170,4.745061,20.408810,10.396099,-2.154437,-21.321173,0.201587
0.020000,20.970214,4.789465,20.615676,10.343302,-2.639890,-24.272630,0.231338
0.020000,21.169582,4.839677,20.821269,10.279660,-3.182052,-27.108104,0.262336
0.020000,21.365816,4.895733,21.025352,10.204176,-3.774220,-29.608391,0.294361
0.020000,21.558450,4.957586,21.227674,10.116074,-4.405108,-31.544429,0.327181
0.020000,21.747027,5.025100,21.427971,10.014874,-5.059991,-32.744116,0.360553
0.020000,21.931104,5.098057,21.625980,9.900412,-5.723110,-33.155975,0.394233
0.020000,22.110280,5.176160,21.821439,9.772953,-6.372929,-32.490947,0.427980
0.020000,22.284199,5.259050,22.014100,9.633076,-6.993857,-31.046389,0.461565
0.020000,22.452563,5.346310,22.203733,9.481649,-7.571340,-28.874163,0.494775
0.020000,22.615141,5.437485,22.390132,9.319934,-8.085788,-25.722402,0.527419
0.020000,22.746589,5.515999,22.543243,7.655558,-83.218756,-3756.648398,0.535453
0.020000,22.844989,5.572315,22.656619,5.668785,-99.338659,-805.995122,0.505529
0.020000,22.948680,5.628051,22.774340,5.886072,10.864324,5510.149111,0.482035
0.020000,23.056733,5.683303,22.895700,6.068012,9.097006,-88.365878,0.464320
0.020000,23.168328,5.738264,23.020095,6.219734,7.586092,-75.545713,0.451826
0.020000,23.282753,5.793195,23.147023,6.346376,6.332121,-62.698541,0.444089
0.020000,23.399402,5.848405,23.276077,6.452716,5.316993,-50.756409,0.440737
0.020000,23.517754,5.904234,23.406936,6.542947,4.511546,-40.272326,0.441470
0.020000,23.637359,5.961048,23.539349,6.620649,3.885089,-31.322869,0.446059
0.020000,23.757822,6.019223,23.673124,6.688780,3.406588,-23.925035,0.454327
0.020000,23.878787,6.079148,23.808118,6.749689,3.045410,-18.058919,0.466140
0.020000,23.999916,6.141210,23.944221,6.805133,2.772214,-13.659781,0.481397
0.020000,24.120877,6.205799,24.081346,6.856265,2.556605,-10.780460,0.500020
0.020000,24.241330,6.273289,24.219418,6.903607,2.367096,-9.475419,0.521938
0.020000,24.360910,6.344038,24.358359,6.947047,2.172011,-9.754279,0.547079
0.020000,24.479212,6.418367,24.498074,6.985748,1.935016,-11.849739,0.575356
0.020000,24.595785,6.496550,24.638438,7.018193,1.622286,-15.636485,0.606654
0.020000,24.710127,6.578787,24.779281,7.042156,1.198162,-21.206219,0.640816
0.020000,24.821676,6.665185,24.920377,7.054782,0.631297,-28.343251,0.677632
0.020000,24.929830,6.755737,25.061433,7.052788,-0.099715,-36.550577,0.716833
0.020000,25.033954,6.850295,25.202085,7.032639,-1.007468,-45.387663,0.758084
0.020000,25.133414,6.948566,25.341905,6.990957,-2.084091,-53.831169,0.800987
0.020000,25.227604,7.050103,25.480402,6.924865,-3.304604,-61.025639,0.845090
0.020000,25.315989,7.154317,25.617049,6.832350,-4.625742,-66.056880,0.889906
0.020000,25.398136,7.260503,25.751301,6.712614,-5.986783,-68.052086,0.934932
0.020000,25.473747,7.367874,25.882624,6.566129,-7.324281,-66.874877,0.979674
0.020000,25.542671,7.475606,26.010517,6.394667,-8.573078,-62.439852,1.023670
0.020000,25.604909,7.582881,26.134539,6.201092,-9.678778,-55.285023,1.066513
0.020000,25.660603,7.688926,26.254319,5.989023,-10.603439,-46.233035,1.107860
0.020000,25.710016,7.793042,26.369566,5.762330,-11.334618,-36.558938,1.147442
0.020000,25.753507,7.894628,26.480070,5.525208,-11.856148,-26.076497,1.185065
0.020000,25.791498,7.993183,26.585694,5.281189,-12.200908,-17.237990,1.220603
0.020000,25.824449,8.088311,26.686367,5.033674,-12.375787,-8.743972,1.253992
0.020000,25.852838,8.179711,26.782075,4.785368,-12.415269,-1.974121,1.285216
0.020000,25.877135,8.267167,26.872843,4.538407,-12.348084,3.359258,1.314301
0.020000,25.897796,8.350530,26.958728,4.294260,-12.207312,7.038614,1.341299
0.020000,25.915251,8.429715,27.039814,4.054320,-11.997023,10.514467,1.366287
0.020000,25.929897,8.504679,27.116195,3.819038,-11.764100,11.646116,1.389351
0.020000,25.942096,8.575412,27.187973,3.588874,-11.508177,12.796175,1.410587
0.020000,25.952179,8.641934,27.255255,3.364109,-11.238278,13.494931,1.430093
0.020000,25.960440,8.704279,27.318145,3.144498,-10.980526,12.887620,1.447966
0.020000,25.967143,8.762496,27.376747,2.930089,-10.720483,13.002151,1.464300
0.020000,25.972523,8.816637,27.431154,2.720359,-10.486477,11.700284,1.479183
0.020000,25.976785,8.866762,27.481460,2.515314,-10.252245,11.711601,1.492701
0.020000,25.980113,8.912932,27.527749,2.314465,-10.042472,10.488664,1.504931
0.020000,25.982667,8.955201,27.570095,2.117292,-9.858621,9.192551,1.515942
0.020000,25.984587,8.993628,27.608570,1.923750,-9.677100,9.076039,1.525800
0.020000,25.985994,9.028263,27.643235,1.733215,-9.526760,7.516978,1.534561
0.020000,25.986995,9.059158,27.674145,1.545543,-9.383589,7.158551,1.542278
