dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.975525,8.782216,0.000649,0.064939,3.246926,162.346302,6.282325
0.020000,1.975826,8.782216,0.000951,0.015063,-2.493755,-287.034072,6.282603
0.020000,1.976427,8.782216,0.001552,0.030072,0.750453,162.210440,6.283158
0.020000,1.984863,8.782219,0.009988,0.421784,19.585599,941.757292,0.000803
0.020000,1.996447,8.782235,0.021572,0.579210,7.871270,-585.716448,0.001905
0.020000,2.010919,8.782272,0.036044,0.723586,7.218799,-32.623559,0.003275
0.020000,2.028273,8.782343,0.053398,0.867696,7.205520,-0.663969,0.004908
0.020000,2.048502,8.782462,0.073627,1.011465,7.188455,-0.853214,0.006797
0.020000,2.071598,8.782644,0.096724,1.154850,7.169238,-0.960869,0.008935
0.020000,2.097552,8.782906,0.122680,1.297782,7.146600,-1.131924,0.011315
0.020000,2.126355,8.783270,0.151484,1.440225,7.122163,-1.221847,0.013926
0.020000,2.157993,8.783756,0.183126,1.582117,7.094562,-1.380050,0.016759
0.020000,2.192455,8.784386,0.217594,1.723399,7.064098,-1.523162,0.019803
0.020000,2.229727,8.785185,0.254875,1.864031,7.031618,-1.624035,0.023046
0.020000,2.269794,8.786177,0.294954,2.003949,6.995918,-1.785009,0.026473
0.020000,2.312639,8.787389,0.337816,2.143119,6.958495,-1.871135,0.030073
0.020000,2.358245,8.788847,0.383446,2.281472,6.917622,-2.043634,0.033829
0.020000,2.406594,8.790578,0.431825,2.418979,6.875392,-2.111509,0.037725
0.020000,2.457666,8.792609,0.482937,2.555589,6.830489,-2.245147,0.041746
0.020000,2.511439,8.794966,0.536762,2.691234,6.782234,-2.412738,0.045874
0.020000,2.567892,8.797678,0.593280,2.825909,6.733736,-2.424896,0.050090
0.020000,2.627002,8.800769,0.652471,2.959548,6.681974,-2.588137,0.054375
0.020000,2.688745,8.804264,0.714313,3.092110,6.628098,-2.693774,0.058710
0.020000,2.753097,8.808189,0.778785,3.223569,6.572921,-2.758858,0.063075
0.020000,2.820031,8.812564,0.845862,3.353869,6.515011,-2.895509,0.067447
0.020000,2.889522,8.817411,0.915522,3.482989,6.456028,-2.949142,0.071805
0.020000,2.961543,8.822749,0.987740,3.610896,6.395334,-3.034712,0.076127
0.020000,3.036065,8.828595,1.062491,3.737544,6.332421,-3.145638,0.080389
0.020000,3.113060,8.834961,1.139749,3.862906,6.268079,-3.217107,0.084568
0.020000,3.192500,8.841860,1.219488,3.986961,6.202740,-3.266945,0.088639
0.020000,3.274356,8.849299,1.301681,4.109651,6.134510,-3.411491,0.092578
0.020000,3.358598,8.857282,1.386300,4.230974,6.066163,-3.417359,0.096358
0.020000,3.445197,8.865812,1.473318,4.350877,5.995126,-3.551859,0.099955
0.020000,3.534122,8.874885,1.562705,4.469344,5.923342,-3.589183,0.103341
0.020000,3.625344,8.884493,1.654431,4.586322,5.848913,-3.721439,0.106489
0.020000,3.718832,8.894626,1.748467,4.701788,5.773313,-3.780026,0.109370
0.020000,3.814556,8.905265,1.844781,4.815701,5.695666,-3.882354,0.111957
0.020000,3.912487,8.916391,1.943341,4.928019,5.615859,-3.990357,0.114220
0.020000,4.012593,8.927975,2.044115,5.038694,5.533786,-4.103621,0.116128
0.020000,4.114843,8.939986,2.147069,5.147678,5.449196,-4.229491,0.117651
0.020000,4.219208,8.952384,2.252167,5.254911,5.361632,-4.378222,0.118755
0.020000,4.325655,8.965124,2.359374,5.360337,5.271323,-4.515424,0.119409
0.020000,4.434153,8.978155,2.468651,5.463885,5.177359,-4.698206,0.119576
0.020000,4.544669,8.991419,2.579961,5.565478,5.079653,-4.885333,0.119221
0.020000,4.657171,9.004849,2.693262,5.665031,4.977689,-5.098158,0.118306
0.020000,4.771624,9.018370,2.808511,5.762453,4.871094,-5.329786,0.116791
0.020000,4.887993,9.031902,2.925663,5.857638,4.759219,-5.593729,0.114637
0.020000,5.006240,9.045354,3.044673,5.950479,4.642094,-5.856270,0.111799
0.020000,5.126325,9.058626,3.165490,6.040845,4.518259,-6.191740,0.108231
0.020000,5.248208,9.071609,3.288062,6.128606,4.388059,-6.510004,0.103886
0.020000,5.371843,9.084184,3.412335,6.213624,4.250893,-6.858301,0.098712
0.020000,5.497180,9.096223,3.538249,6.295738,4.105691,-7.260118,0.092657
0.020000,5.624169,9.107585,3.665745,6.374790,3.952602,-7.654406,0.085664
