dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.502134,17.148843,0.200000,2.000000,10.000000,50.000000,0.011549
0.200000,7.101941,17.163523,0.800000,4.000000,10.000000,0.000000,0.034191
0.200000,8.101282,17.199754,1.800000,6.000000,10.000000,0.000000,0.029456
0.200000,9.500664,17.185942,3.200000,8.000000,10.000000,0.000000,6.216556
0.200000,11.258551,16.848828,5.000000,10.000000,10.000000,0.000000,5.950800
0.200000,13.080259,16.027068,7.000000,10.000000,0.000000,-50.000000,5.822271
0.200000,14.808753,15.294622,8.883424,8.834244,-5.828780,-29.143902,5.943100
0.200000,16.280278,14.756550,10.450273,6.834244,-10.000000,-20.856098,5.950571
0.200000,17.400411,14.432121,11.617122,4.834244,-10.000000,0.000000,6.067995
0.200000,18.157592,14.314044,12.383971,2.834244,-10.000000,0.000000,6.194823
0.200000,18.523846,14.294579,12.750820,0.834244,-10.000000,0.000000,6.266260
0.200000,18.607267,14.293871,12.834244,0.000000,-4.171220,29.143902,6.283185
0.200000,18.607267,14.293871,12.834244,0.000000,0.000000,20.856098,6.283185
