dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.513683,16.148909,0.200000,2.000000,10.000000,50.000000,0.011549
0.200000,7.136125,16.164107,0.822628,3.113141,5.565703,-22.171487,0.034191
0.200000,8.130733,16.200188,1.817891,4.976312,9.315859,18.750780,0.029456
0.200000,9.434083,16.188161,3.121296,6.517028,7.703577,-8.061410,6.216556
0.200000,10.932252,15.903561,4.646257,7.624806,5.538890,-10.823433,5.950800
0.200000,12.635492,15.131422,6.516344,9.350435,8.628147,15.446286,5.822271
0.200000,14.475185,14.351896,8.514376,9.990160,3.198625,-27.147609,5.943100
0.200000,15.953762,13.811358,10.088661,7.871422,-10.593692,-68.961588,5.950571
0.200000,17.186877,13.455185,11.372184,6.417615,-7.269032,16.623302,6.067995
0.200000,18.069344,13.317945,12.265259,4.465376,-9.761199,-12.460837,6.194823
0.200000,18.506921,13.294722,12.703451,2.190963,-11.372065,-8.054328,6.266260
0.200000,18.607267,13.293871,12.803800,0.501745,-8.446090,14.629875,6.283185
0.200000,18.607267,13.293871,12.803800,0.000000,-2.508723,29.686832,6.283185
