dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,18.493600,15.294000,0.119993,1.199934,5.999672,29.998358,3.141593
0.200000,18.133619,15.294000,0.479974,1.799901,2.999836,-14.999179,3.141593
0.200000,17.533652,15.294000,1.079941,2.999836,5.999672,14.999179,3.141593
0.200000,16.693698,15.294000,1.919895,4.199770,5.999672,-0.000000,3.141593
0.200000,15.613757,15.294000,2.999836,5.399704,5.999672,0.000000,3.141593
0.200000,14.473823,15.294000,4.139770,5.699672,1.499836,-22.499179,3.141593
0.200000,13.513882,15.294000,5.099711,4.799704,-4.499836,-29.998358,3.141593
0.200000,12.793928,15.294000,5.819665,3.599770,-5.999672,-7.499179,3.141593
0.200000,12.313961,15.294000,6.299632,2.399836,-5.999672,-0.000000,3.141593
0.200000,12.073980,15.294000,6.539613,1.199901,-5.999672,0.000000,3.141593
0.200000,12.013987,15.294000,6.599606,0.299967,-4.499672,7.500000,3.141593
0.200000,12.013987,15.294000,6.599606,0.000000,-1.499836,14.999179,3.141593
