dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.000000,10.000000,0.000655,0.065532,3.276617,163.830842,3.141593
0.020000,10.000000,10.000000,0.003277,0.196597,6.553234,163.830842,3.141593
0.020000,10.000000,10.000000,0.008519,0.327662,6.553234,0.000000,3.141593
0.020000,9.993617,10.000000,0.016383,0.458726,6.553234,0.000000,3.141593
0.020000,9.983132,10.000000,0.026868,0.589791,6.553234,-0.000000,3.141593
0.020000,9.970025,10.000000,0.039975,0.720856,6.553234,0.000000,3.141593
0.020000,9.954298,10.000000,0.055702,0.851920,6.553234,-0.000000,3.141593
0.020000,9.935948,10.000000,0.074052,0.982985,6.553234,0.000000,3.141593
0.020000,9.914978,10.000000,0.095022,1.114050,6.553234,-0.000000,3.141593
0.020000,9.891386,10.000000,0.118614,1.245114,6.553234,0.000000,3.141593
0.020000,9.865174,10.000000,0.144826,1.376179,6.553234,-0.000000,3.141593
0.020000,9.836339,10.000000,0.173661,1.507244,6.553234,0.000000,3.141593
0.020000,9.804884,10.000000,0.205116,1.638308,6.553234,0.000000,3.141593
0.020000,9.770807,10.000000,0.239193,1.769373,6.553234,0.000000,3.141593
0.020000,9.734109,10.000000,0.275891,1.900438,6.553234,0.000000,3.141593
0.020000,9.694789,10.000000,0.315211,2.031502,6.553234,0.000000,3.141593
0.020000,9.652849,10.000000,0.357151,2.162567,6.553234,0.000000,3.141593
0.020000,9.608287,10.000000,0.401713,2.293632,6.553234,-0.000000,3.141593
0.020000,9.561103,10.000000,0.448897,2.424696,6.553234,0.000000,3.141593
0.020000,9.511299,10.000000,0.498701,2.555761,6.553234,0.000000,3.141593
0.020000,9.458873,10.000000,0.551127,2.686826,6.553234,-0.000000,3.141593
0.020000,9.403826,10.000000,0.606174,2.817890,6.553234,0.000000,3.141593
0.020000,9.346157,10.000000,0.663843,2.948955,6.553234,0.000000,3.141593
0.020000,9.285868,10.000000,0.724132,3.080020,6.553234,-0.000000,3.141593
0.020000,9.222957,10.000000,0.787043,3.211085,6.553234,0.000000,3.141593
0.020000,9.157424,10.000000,0.852576,3.342149,6.553234,0.000000,3.141593
0.020000,9.089271,10.000000,0.920729,3.473214,6.553234,-0.000000,3.141593
0.020000,9.018496,10.000000,0.991504,3.604279,6.553234,0.000000,3.141593
0.020000,8.945100,10.000000,1.064900,3.735343,6.553234,0.000000,3.141593
0.020000,8.869082,10.000000,1.140918,3.866408,6.553234,-0.000000,3.141593
0.020000,8.790443,10.000000,1.219557,3.997473,6.553234,0.000000,3.141593
0.020000,8.709183,10.000000,1.300817,4.128537,6.553234,-0.000000,3.141593
0.020000,8.625302,10.000000,1.384698,4.259602,6.553234,0.000000,3.141593
0.020000,8.538799,10.000000,1.471201,4.390667,6.553234,-0.000000,3.141593
0.020000,8.449675,10.000000,1.560325,4.521731,6.553234,0.000000,3.141593
0.020000,8.357930,10.000000,1.652070,4.652796,6.553234,0.000000,3.141593
0.020000,8.263563,10.000000,1.746437,4.783861,6.553234,0.000000,3.141593
0.020000,8.166575,10.000000,1.843425,4.914925,6.553234,-0.000000,3.141593
0.020000,8.066966,10.000000,1.943034,5.045990,6.553234,0.000000,3.141593
0.020000,7.964736,10.000000,2.045264,5.177055,6.553234,0.000000,3.141593
0.020000,7.859884,10.000000,2.150116,5.308119,6.553234,-0.000000,3.141593
0.020000,7.752411,10.000000,2.257589,5.439184,6.553234,0.000000,3.141593
0.020000,7.642317,10.000000,2.367683,5.570249,6.553234,-0.000000,3.141593
0.020000,7.529601,10.000000,2.480399,5.701313,6.553234,0.000000,3.141593
0.020000,7.414264,10.000000,2.595736,5.832378,6.553234,-0.000000,3.141593
0.020000,7.296306,10.000000,2.713694,5.963443,6.553234,0.000000,3.141593
