dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,-0.000179,11.083333,0.000652,0.065218,3.260918,163.045882,0.000165
0.020000,-0.000083,11.083333,0.000748,0.004789,-3.021472,-314.119499,0.000077
0.020000,0.003055,11.083333,0.003886,0.156902,7.605652,531.356215,6.283086
0.020000,0.011166,11.083331,0.011997,0.405555,12.432640,241.349379,6.282823
0.020000,0.021978,11.083326,0.022809,0.540596,6.752082,-284.027861,6.282475
0.020000,0.035488,11.083313,0.036319,0.675516,6.745985,-0.304841,6.282044
0.020000,0.051694,11.083290,0.052525,0.810283,6.738343,-0.382131,6.281533
0.020000,0.070591,11.083254,0.071422,0.944866,6.729138,-0.460221,6.280946
0.020000,0.092176,11.083198,0.093007,1.079235,6.718480,-0.532931,6.280286
0.020000,0.116443,11.083119,0.117274,1.213360,6.706219,-0.613026,6.279558
0.020000,0.143387,11.083010,0.144218,1.347210,6.692510,-0.685463,6.278767
0.020000,0.173002,11.082867,0.173833,1.480754,6.677208,-0.765086,6.277919
0.020000,0.205280,11.082682,0.206113,1.613963,6.660459,-0.837450,6.277020
0.020000,0.240216,11.082450,0.241049,1.746806,6.642149,-0.915521,6.276076
0.020000,0.277800,11.082165,0.278634,1.879253,6.622329,-0.990974,6.275095
0.020000,0.318024,11.081819,0.318859,2.011274,6.601044,-1.064256,6.274084
0.020000,0.360878,11.081407,0.361716,2.142838,6.578212,-1.141593,6.273053
0.020000,0.406354,11.080922,0.407194,2.273916,6.553890,-1.216106,6.272010
0.020000,0.454440,11.080359,0.455284,2.404477,6.528074,-1.290839,6.270965
0.020000,0.505126,11.079713,0.505974,2.534492,6.500758,-1.365789,6.269928
0.020000,0.558400,11.078979,0.559253,2.663932,6.471956,-1.440081,6.268909
0.020000,0.614249,11.078154,0.615108,2.792764,6.441649,-1.515355,6.267919
0.020000,0.672661,11.077234,0.673527,2.920961,6.409847,-1.590103,6.266971
0.020000,0.733622,11.076218,0.734497,3.048493,6.376589,-1.662876,6.266077
0.020000,0.797119,11.075104,0.798003,3.175329,6.341799,-1.739500,6.265249
0.020000,0.863137,11.073895,0.864032,3.301440,6.305540,-1.812980,6.264501
0.020000,0.931660,11.072591,0.932568,3.426795,6.267767,-1.888627,6.263846
0.020000,1.002674,11.071197,1.003595,3.551365,6.228499,-1.963407,6.263300
0.020000,1.076161,11.069720,1.077098,3.675120,6.187711,-2.039400,6.262878
0.020000,1.152106,11.068165,1.153058,3.798028,6.145407,-2.115207,6.262594
0.020000,1.230491,11.066545,1.231460,3.920059,6.101560,-2.192339,6.262466
0.020000,1.311297,11.064871,1.312283,4.041182,6.056169,-2.269562,6.262509
0.020000,1.394507,11.063159,1.395511,4.161366,6.009208,-2.348068,6.262742
0.020000,1.480101,11.061426,1.481122,4.280580,5.960665,-2.427127,6.263182
0.020000,1.568059,11.059694,1.569098,4.398790,5.910506,-2.507939,6.263848
0.020000,1.658362,11.057987,1.659417,4.515964,5.858719,-2.589358,6.264758
0.020000,1.750989,11.056332,1.752059,4.632070,5.805299,-2.671024,6.265933
0.020000,1.845918,11.054762,1.847000,4.747074,5.750191,-2.755369,6.267393
0.020000,1.943126,11.053310,1.944219,4.860942,5.693375,-2.840793,6.269159
0.020000,2.042590,11.052017,2.043692,4.973639,5.634872,-2.925166,6.271253
0.020000,2.144287,11.050925,2.145394,5.085132,5.574636,-3.011816,6.273696
0.020000,2.248191,11.050082,2.249302,5.195385,5.512663,-3.098641,6.276511
0.020000,2.354277,11.049541,2.355389,5.304365,5.449001,-3.183088,6.279723
0.020000,2.462518,11.049360,2.463630,5.412037,5.383591,-3.270505,0.000170
