dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.657479,14.075543,0.000652,0.065220,3.261015,163.050732,3.927629
0.020000,10.657680,14.075745,0.000938,0.014265,-2.547767,-290.439071,3.927366
0.020000,10.657021,14.075086,0.001870,0.046619,1.617726,208.274616,3.926839
0.020000,10.652089,14.070160,0.008840,0.348527,15.095367,673.882056,3.926049
0.020000,10.645508,14.063598,0.018134,0.464687,5.807999,-464.368365,3.924995
0.020000,10.637272,14.055405,0.029751,0.580849,5.808092,0.004650,3.923678
0.020000,10.627375,14.045589,0.043691,0.696987,5.806928,-0.058213,3.922097
0.020000,10.615808,14.034156,0.059954,0.813135,5.807376,0.022416,3.920251
0.020000,10.602565,14.021118,0.078539,0.929251,5.805802,-0.078742,3.918142
0.020000,10.587634,14.006483,0.099446,1.045354,5.805166,-0.031799,3.915768
0.020000,10.571003,13.990265,0.122675,1.161463,5.805442,0.013802,3.913128
0.020000,10.552662,13.972477,0.148226,1.277539,5.803826,-0.080791,3.910224
0.020000,10.532595,13.953133,0.176098,1.393617,5.803902,0.003803,3.907055
0.020000,10.510787,13.932250,0.206292,1.509676,5.802921,-0.049053,3.903620
0.020000,10.487224,13.909846,0.238806,1.625735,5.802935,0.000724,3.899920
0.020000,10.461886,13.885939,0.273642,1.741781,5.802299,-0.031804,3.895954
0.020000,10.434756,13.860551,0.310799,1.857836,5.802747,0.022401,3.891722
0.020000,10.405813,13.833702,0.350276,1.973892,5.802834,0.004320,3.887225
0.020000,10.375038,13.805417,0.392076,2.089958,5.803299,0.023270,3.882463
0.020000,10.342407,13.775721,0.436196,2.206042,5.804172,0.043633,3.877435
0.020000,10.307898,13.744639,0.482639,2.322153,5.805572,0.069992,3.872143
0.020000,10.271486,13.712199,0.531406,2.438300,5.807369,0.089873,3.866587
0.020000,10.233147,13.678432,0.582495,2.554495,5.809731,0.118108,3.860768
0.020000,10.192854,13.643366,0.635910,2.670746,5.812527,0.139814,3.854687
0.020000,10.150579,13.607035,0.691652,2.787069,5.816156,0.181411,3.848346
0.020000,10.106294,13.569473,0.749721,2.903475,5.820305,0.207484,3.841745
0.020000,10.059970,13.530714,0.810121,3.019989,5.825718,0.270636,3.834887
0.020000,10.011578,13.490795,0.872853,3.136625,5.831806,0.304382,3.827775
0.020000,9.961085,13.449754,0.937921,3.253390,5.838248,0.322090,3.820410
0.020000,9.908461,13.407632,1.005328,3.370323,5.846654,0.420333,3.812795
0.020000,9.853672,13.364468,1.075076,3.487430,5.855317,0.433164,3.804935
0.020000,9.796687,13.320306,1.147171,3.604749,5.865963,0.532254,3.796832
0.020000,9.737469,13.275189,1.221617,3.722295,5.877280,0.565887,3.788491
0.020000,9.675987,13.229163,1.298419,3.840089,5.889747,0.623348,3.779917
0.020000,9.612204,13.182274,1.377583,3.958176,5.904306,0.727956,3.771115
0.020000,9.546085,13.134570,1.459114,4.076565,5.919458,0.757563,3.762090
