dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,-0.000024,11.083333,0.008163,0.326531,6.530612,130.612245,0.000022
0.050000,-0.000011,11.083333,0.008176,0.000255,-6.525509,-261.122430,0.000010
0.050000,0.019543,11.083333,0.027730,0.391084,7.816571,286.841598,6.283176
0.050000,0.076716,11.083332,0.084903,1.143451,15.047340,144.615391,6.283149
0.050000,0.150223,11.083328,0.158410,1.470149,6.533967,-170.267468,6.283113
0.050000,0.240065,11.083320,0.248252,1.796846,6.533939,-0.000550,6.283071
0.050000,0.346242,11.083305,0.354430,2.123541,6.533905,-0.000684,6.283020
0.050000,0.468754,11.083281,0.476941,2.450235,6.533865,-0.000801,6.282962
0.050000,0.607600,11.083245,0.615788,2.776925,6.533819,-0.000925,6.282897
0.050000,0.762781,11.083195,0.770968,3.103614,6.533766,-0.001050,6.282824
0.050000,0.934296,11.083126,0.942483,3.430299,6.533708,-0.001168,6.282745
0.050000,1.122145,11.083035,1.130332,3.756981,6.533643,-0.001303,6.282658
0.050000,1.326328,11.082918,1.334515,4.083660,6.533572,-0.001413,6.282564
0.050000,1.546845,11.082770,1.555032,4.410335,6.533495,-0.001547,6.282464
0.050000,1.783695,11.082587,1.791882,4.737005,6.533411,-0.001667,6.282357
0.050000,2.036878,11.082363,2.045066,5.063671,6.533322,-0.001781,6.282244
0.050000,2.306395,11.082093,2.314582,5.390333,6.533226,-0.001921,6.282125
0.050000,2.592244,11.081772,2.600432,5.716989,6.533125,-0.002036,6.282001
0.050000,2.894426,11.081394,2.902614,6.043640,6.533017,-0.002152,6.281870
0.050000,3.212940,11.080954,3.221128,6.370285,6.532902,-0.002292,6.281735
0.050000,3.547786,11.080445,3.555974,6.696924,6.532782,-0.002405,6.281594
0.050000,3.898963,11.079860,3.907152,7.023557,6.532656,-0.002528,6.281449
0.050000,4.266472,11.079195,4.274661,7.350183,6.532523,-0.002656,6.281299
0.050000,4.650311,11.078441,4.658501,7.676802,6.532384,-0.002773,6.281145
0.050000,5.050481,11.077593,5.058672,8.003414,6.532239,-0.002903,6.280988
0.050000,5.466981,11.076644,5.475173,8.330018,6.532088,-0.003025,6.280827
0.050000,5.899810,11.075588,5.908004,8.656615,6.531931,-0.003146,6.280663
0.050000,6.348969,11.074417,6.357164,8.983203,6.531767,-0.003271,6.280496
0.050000,6.814456,11.073126,6.822653,9.309783,6.531597,-0.003394,6.280327
0.050000,7.296272,11.071708,7.304471,9.636354,6.531421,-0.003518,6.280156
0.050000,7.794415,11.070156,7.802617,9.962916,6.531239,-0.003641,6.279984
0.050000,8.308886,11.068464,8.317090,10.289469,6.531051,-0.003766,6.279811
0.050000,8.839683,11.066626,8.847891,10.616012,6.530857,-0.003885,6.279637
0.050000,9.386807,11.064637,9.395018,10.942544,6.530656,-0.004014,6.279463
0.050000,9.950256,11.062490,9.958471,11.269067,6.530449,-0.004134,6.279289
