dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000000,10.000000,0.008163,0.326531,6.530612,130.612245,0.000022
0.050000,0.000000,10.000000,0.032653,0.653061,6.530612,0.000000,0.000010
0.050000,0.019533,10.000000,0.073469,0.979592,6.530612,0.000000,6.283176
0.050000,0.076676,9.999999,0.130612,1.306122,6.530612,-0.000000,6.283149
0.050000,0.150145,9.999995,0.204082,1.632653,6.530612,0.000000,6.283113
0.050000,0.239941,9.999986,0.293878,1.959184,6.530612,-0.000000,6.283071
0.050000,0.346064,9.999971,0.400000,2.285714,6.530612,0.000000,6.283020
0.050000,0.468513,9.999948,0.522449,2.612245,6.530612,0.000000,6.282962
0.050000,0.607288,9.999912,0.661224,2.938776,6.530612,0.000000,6.282897
0.050000,0.762390,9.999862,0.816327,3.265306,6.530612,-0.000000,6.282824
0.050000,0.933819,9.999793,0.987755,3.591837,6.530612,0.000000,6.282745
0.050000,1.121574,9.999702,1.175510,3.918367,6.530612,0.000000,6.282658
0.050000,1.325655,9.999585,1.379592,4.244898,6.530612,0.000000,6.282564
0.050000,1.546063,9.999437,1.600000,4.571429,6.530612,-0.000000,6.282464
0.050000,1.782798,9.999254,1.836735,4.897959,6.530612,0.000000,6.282357
0.050000,2.035859,9.999030,2.089796,5.224490,6.530612,-0.000000,6.282244
0.050000,2.305247,9.998760,2.359184,5.551020,6.530612,0.000000,6.282125
0.050000,2.590961,9.998440,2.644898,5.877551,6.530612,0.000000,6.282001
0.050000,2.893001,9.998062,2.946939,6.204082,6.530612,-0.000000,6.281870
0.050000,3.211369,9.997622,3.265306,6.530612,6.530612,0.000000,6.281735
0.050000,3.546062,9.997113,3.600000,6.857143,6.530612,-0.000000,6.281594
0.050000,3.897082,9.996529,3.951020,7.183673,6.530612,0.000000,6.281449
0.050000,4.264428,9.995863,4.318367,7.510204,6.530612,0.000000,6.281299
0.050000,4.648101,9.995110,4.702041,7.836735,6.530612,-0.000000,6.281145
0.050000,5.048100,9.994262,5.102041,8.163265,6.530612,0.000000,6.280988
0.050000,5.464426,9.993314,5.518367,8.489796,6.530612,0.000000,6.280827
0.050000,5.897077,9.992258,5.951020,8.816327,6.530612,-0.000000,6.280663
0.050000,6.346055,9.991088,6.400000,9.142857,6.530612,0.000000,6.280496
0.050000,6.811360,9.989797,6.865306,9.469388,6.530612,0.000000,6.280327
0.050000,7.292990,9.988379,7.346939,9.795918,6.530612,0.000000,6.280156
0.050000,7.790947,9.986828,7.844898,10.122449,6.530612,0.000000,6.279984
0.050000,8.305230,9.985137,8.359184,10.448980,6.530612,-0.000000,6.279811
0.050000,8.835839,9.983300,8.889796,10.775510,6.530612,0.000000,6.279637
0.050000,9.382774,9.981311,9.436735,11.102041,6.530612,0.000000,6.279463
0.050000,9.946035,9.979165,10.000000,11.428571,6.530612,0.000000,6.279289
0.050000,10.525623,9.976857,10.579592,11.755102,6.530612,0.000000,6.279117
0.050000,11.121536,9.974381,11.175510,12.081633,6.530612,-0.000000,6.278945
0.050000,11.733775,9.971733,11.787755,12.408163,6.530612,0.000000,6.278776
0.050000,12.362340,9.968908,12.416327,12.734694,6.530612,0.000000,6.278609
0.050000,13.007231,9.965904,13.061224,13.061224,6.530612,0.000000,6.278445
0.050000,13.668448,9.962716,13.722449,13.387755,6.530612,0.000000,6.278284
0.050000,14.345991,9.959342,14.400000,13.714286,6.530612,-0.000000,6.278128
0.050000,15.039859,9.955779,15.093878,14.040816,6.530612,0.000000,6.277976
0.050000,15.750053,9.952027,15.804082,14.367347,6.530612,0.000000,6.277830
0.050000,16.476573,9.948085,16.530612,14.693878,6.530612,0.000000,6.277689
0.050000,17.219419,9.943952,17.273469,15.020408,6.530612,0.000000,6.277556
0.050000,17.978590,9.939629,18.032653,15.346939,6.530612,-0.000000,6.277429
0.050000,18.754087,9.935118,18.808163,15.673469,6.530612,0.000000,6.277310
0.050000,19.545910,9.930422,19.600000,16.000000,6.530612,0.000000,6.277200
0.050000,20.345895,9.925593,20.400000,16.000000,0.000000,-130.612245,6.277100
0.050000,21.145880,9.920688,21.200000,16.000000,0.000000,0.000000,6.277011
