dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.000024,8.916667,0.008163,0.326531,6.530612,130.612245,0.000022
0.050000,0.000011,8.916667,0.008176,0.000255,-6.525509,-261.122430,0.000010
0.050000,0.019523,8.916667,0.027688,0.390234,7.799581,286.501810,6.283176
0.050000,0.076636,8.916665,0.084801,1.142264,15.040588,144.820128,6.283149
0.050000,0.150067,8.916661,0.158232,1.468626,6.527257,-170.266604,6.283113
0.050000,0.239817,8.916653,0.247982,1.794991,6.527285,0.000561,6.283071
0.050000,0.345885,8.916638,0.354050,2.121357,6.527319,0.000673,6.283020
0.050000,0.468271,8.916614,0.476436,2.447725,6.527359,0.000804,6.282962
0.050000,0.606976,8.916579,0.615141,2.774095,6.527406,0.000926,6.282897
0.050000,0.761999,8.916528,0.770164,3.100468,6.527458,0.001048,6.282824
0.050000,0.933341,8.916460,0.941506,3.426844,6.527517,0.001177,6.282745
0.050000,1.121002,8.916369,1.129167,3.753223,6.527581,0.001289,6.282658
0.050000,1.324983,8.916252,1.333148,4.079605,6.527653,0.001425,6.282564
0.050000,1.545282,8.916104,1.553447,4.405992,6.527729,0.001538,6.282464
0.050000,1.781901,8.915921,1.790066,4.732382,6.527813,0.001665,6.282357
0.050000,2.034840,8.915697,2.043005,5.058778,6.527903,0.001798,6.282244
0.050000,2.304099,8.915428,2.312264,5.385178,6.527998,0.001905,6.282125
0.050000,2.589678,8.915107,2.597843,5.711583,6.528100,0.002036,6.282001
0.050000,2.891577,8.914730,2.899743,6.037993,6.528208,0.002168,6.281870
0.050000,3.209797,8.914290,3.217963,6.364409,6.528322,0.002275,6.281735
0.050000,3.544338,8.913781,3.552505,6.690831,6.528442,0.002408,6.281594
0.050000,3.895201,8.913197,3.903368,7.017260,6.528569,0.002532,6.281449
0.050000,4.262385,8.912532,4.270553,7.343695,6.528701,0.002651,6.281299
0.050000,4.645891,8.911779,4.654059,7.670137,6.528840,0.002781,6.281145
0.050000,5.045719,8.910932,5.053889,7.996586,6.528985,0.002898,6.280988
0.050000,5.461871,8.909984,5.470041,8.323043,6.529136,0.003023,6.280827
0.050000,5.894345,8.908928,5.902516,8.649507,6.529294,0.003149,6.280663
0.050000,6.343142,8.907758,6.351315,8.975980,6.529457,0.003270,6.280496
0.050000,6.808263,8.906468,6.816438,9.302462,6.529627,0.003394,6.280327
0.050000,7.289709,8.905051,7.297886,9.628952,6.529803,0.003518,6.280156
0.050000,7.787479,8.903500,7.795658,9.955451,6.529985,0.003642,6.279984
0.050000,8.301574,8.901809,8.309756,10.281960,6.530173,0.003763,6.279811
0.050000,8.831995,8.899973,8.840180,10.608478,6.530368,0.003891,6.279637
0.050000,9.378742,8.897985,9.386931,10.935007,6.530568,0.004009,6.279463
0.050000,9.941815,8.895840,9.950008,11.261545,6.530775,0.004136,6.279289
0.050000,10.521215,8.893533,10.529413,11.588095,6.530988,0.004257,6.279117
0.050000,11.116943,8.891057,11.125145,11.914655,6.531207,0.004382,6.278945
0.050000,11.728998,8.888410,11.737207,12.241227,6.531432,0.004505,6.278776
0.050000,12.357382,8.885586,12.365597,12.567810,6.531664,0.004629,6.278609
0.050000,13.002096,8.882583,13.010317,12.894405,6.531901,0.004752,6.278445
0.050000,13.663139,8.879395,13.671368,13.221012,6.532145,0.004875,6.278284
0.050000,14.340512,8.876022,14.348750,13.547632,6.532395,0.005000,6.278128
0.050000,15.034216,8.872461,15.042463,13.874264,6.532651,0.005121,6.277976
0.050000,15.744251,8.868710,15.752508,14.200910,6.532913,0.005247,6.277830
0.050000,16.470619,8.864768,16.478887,14.527569,6.533182,0.005368,6.277689
0.050000,17.213320,8.860636,17.221599,14.854242,6.533457,0.005494,6.277556
0.050000,17.972354,8.856314,17.980645,15.180929,6.533737,0.005615,6.277429
0.050000,18.747722,8.851804,18.756027,15.507630,6.534024,0.005740,6.277310
0.050000,19.539426,8.847108,19.547744,15.834346,6.534317,0.005862,6.277200
0.050000,20.339303,8.842279,20.347636,15.997832,3.269728,-65.291798,6.277100
0.050000,21.139192,8.837375,21.147540,15.998079,0.004939,-65.295769,6.277011
0.050000,21.939093,8.832405,21.947456,15.998326,0.004939,-0.000001,6.276934
0.050000,22.739005,8.827377,22.747385,15.998573,0.004939,0.000000,6.276868
0.050000,23.538930,8.822301,23.547326,15.998820,0.004939,0.000000,6.276814
0.050000,24.338867,8.817186,24.347279,15.999067,0.004939,-0.000000,6.276771
0.050000,25.138816,8.812041,25.147245,15.999314,0.004939,-0.000000,6.276739
0.050000,25.938778,8.806875,25.947223,15.999561,0.004939,-0.000000,6.276719
0.050000,26.738751,8.801698,26.747213,15.999808,0.004939,-0.000000,6.276710
0.050000,27.538737,8.796518,27.547216,16.000055,0.004939,0.000000,6.276712
