dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.208201,10.949333,0.000650,0.065029,3.251429,162.571445,6.283000
0.020000,6.208026,10.949333,0.000825,0.008737,-2.814598,-303.301326,6.283161
0.020000,6.212488,10.949334,0.005287,0.223097,10.717994,676.629606,0.000297
0.020000,6.219773,10.949338,0.012572,0.364241,7.057220,-183.038709,0.000776
0.020000,6.229493,10.949349,0.022291,0.485981,6.086983,-48.511881,0.001408
0.020000,6.241653,10.949370,0.034451,0.608000,6.100952,0.698460,0.002189
0.020000,6.256260,10.949409,0.049059,0.730368,6.118404,0.872584,0.003111
0.020000,6.273323,10.949471,0.066122,0.853155,6.139355,1.047551,0.004168
0.020000,6.292851,10.949564,0.085650,0.976430,6.163784,1.221494,0.005350
0.020000,6.314856,10.949696,0.107656,1.100264,6.191691,1.395320,0.006647
0.020000,6.339350,10.949876,0.132150,1.224726,6.223083,1.569612,0.008047
0.020000,6.366347,10.950114,0.159148,1.349885,6.257940,1.742836,0.009538
0.020000,6.395861,10.950419,0.188664,1.475810,6.296257,1.915871,0.011105
0.020000,6.427910,10.950801,0.220716,1.602570,6.338027,2.088478,0.012733
0.020000,6.462512,10.951271,0.255320,1.730235,6.383245,2.260929,0.014405
0.020000,6.499685,10.951838,0.292498,1.858873,6.431896,2.432508,0.016103
0.020000,6.539450,10.952513,0.332269,1.988553,6.483973,2.603879,0.017808
0.020000,6.581830,10.953304,0.374656,2.119342,6.539462,2.774437,0.019500
0.020000,6.626847,10.954220,0.419682,2.251309,6.598360,2.944922,0.021156
0.020000,6.674526,10.955267,0.467372,2.384522,6.660647,3.114316,0.022754
0.020000,6.724893,10.956452,0.517753,2.519049,6.726339,3.284599,0.024270
0.020000,6.777975,10.957779,0.570852,2.654957,6.795407,3.453413,0.025677
0.020000,6.833802,10.959249,0.626699,2.792315,6.867879,3.623588,0.026950
0.020000,6.892404,10.960863,0.685322,2.931190,6.943766,3.794364,0.028060
0.020000,6.953812,10.962616,0.746755,3.071651,7.023053,3.964371,0.028978
0.020000,7.018059,10.964502,0.811031,3.213767,7.105801,4.137381,0.029673
0.020000,7.085182,10.966511,0.878183,3.357607,7.192014,4.310655,0.030114
0.020000,7.155214,10.968628,0.948248,3.503242,7.281753,4.486939,0.030267
0.020000,7.228196,10.970833,1.021263,3.650743,7.375050,4.664835,0.030098
0.020000,7.304166,10.973102,1.097266,3.800183,7.471969,4.845969,0.029572
0.020000,7.383165,10.975405,1.176299,3.951634,7.572565,5.029787,0.028650
0.020000,7.465236,10.977704,1.258402,4.105172,7.676906,5.217068,0.027295
0.020000,7.550424,10.979955,1.343620,4.260873,7.785051,5.407270,0.025467
0.020000,7.638774,10.982106,1.431996,4.418814,7.897038,5.599332,0.023123
0.020000,7.730334,10.984094,1.523578,4.579072,8.012916,5.793875,0.020222
