dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.208000,9.866000,0.000650,0.065029,3.251429,162.571445,6.283000
0.020000,6.208000,9.866000,0.003251,0.195086,6.502858,162.571445,6.283161
0.020000,6.212810,9.866001,0.008454,0.325143,6.502858,0.000000,0.000297
0.020000,6.220613,9.866005,0.016257,0.455200,6.502858,0.000000,0.000776
0.020000,6.231018,9.866016,0.026662,0.585257,6.502858,0.000000,0.001408
0.020000,6.244024,9.866040,0.039667,0.715314,6.502858,0.000000,0.002189
0.020000,6.259630,9.866081,0.055274,0.845372,6.502858,-0.000000,0.003111
0.020000,6.277838,9.866147,0.073482,0.975429,6.502858,0.000000,0.004168
0.020000,6.298647,9.866246,0.094291,1.105486,6.502858,0.000000,0.005350
0.020000,6.322057,9.866387,0.117702,1.235543,6.502858,0.000000,0.006647
0.020000,6.348068,9.866578,0.143713,1.365600,6.502858,-0.000000,0.008047
0.020000,6.376679,9.866830,0.172326,1.495657,6.502858,0.000000,0.009538
0.020000,6.407891,9.867152,0.203539,1.625714,6.502858,0.000000,0.011105
0.020000,6.441704,9.867555,0.237354,1.755772,6.502858,-0.000000,0.012733
0.020000,6.478116,9.868050,0.273770,1.885829,6.502858,0.000000,0.014405
0.020000,6.517129,9.868645,0.312787,2.015886,6.502858,0.000000,0.016103
0.020000,6.558741,9.869351,0.354406,2.145943,6.502858,-0.000000,0.017808
0.020000,6.602953,9.870176,0.398625,2.276000,6.502858,0.000000,0.019500
0.020000,6.649764,9.871129,0.445446,2.406057,6.502858,0.000000,0.021156
0.020000,6.699174,9.872214,0.494867,2.536115,6.502858,-0.000000,0.022754
0.020000,6.751182,9.873438,0.546890,2.666172,6.502858,0.000000,0.024270
0.020000,6.805789,9.874803,0.601514,2.796229,6.502858,0.000000,0.025677
0.020000,6.862994,9.876310,0.658739,2.926286,6.502858,0.000000,0.026950
0.020000,6.922798,9.877956,0.718566,3.056343,6.502858,0.000000,0.028060
