dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.207799,8.782667,0.000650,0.065029,3.251429,162.571445,6.283000
0.020000,6.207974,8.782667,0.000825,0.008737,-2.814598,-303.301326,6.283161
0.020000,6.213132,8.782667,0.005983,0.257903,12.458338,763.646778,0.000297
0.020000,6.221454,8.782672,0.014305,0.416102,7.909929,-227.420435,0.000776
0.020000,6.232543,8.782684,0.025395,0.554477,6.918736,-49.559666,0.001408
0.020000,6.246395,8.782709,0.039246,0.692572,6.904768,-0.698406,0.002189
0.020000,6.263001,8.782753,0.055852,0.830318,6.887302,-0.873295,0.003111
0.020000,6.282354,8.782823,0.075205,0.967645,6.866362,-1.046996,0.004168
0.020000,6.304443,8.782929,0.097295,1.104484,6.841931,-1.221550,0.005350
0.020000,6.329258,8.783078,0.122110,1.240764,6.814015,-1.395818,0.006647
0.020000,6.356786,8.783280,0.149639,1.376417,6.782634,-1.569031,0.008047
0.020000,6.387012,8.783546,0.179866,1.511372,6.747778,-1.742799,0.009538
0.020000,6.419921,8.783886,0.212777,1.645562,6.709458,-1.916000,0.011105
0.020000,6.455497,8.784310,0.248356,1.778915,6.667682,-2.088784,0.012733
0.020000,6.493721,8.784829,0.286583,1.911365,6.622467,-2.260753,0.014405
0.020000,6.534573,8.785452,0.327440,2.042841,6.573815,-2.432628,0.016103
0.020000,6.578032,8.786190,0.370905,2.173276,6.521742,-2.603647,0.017808
0.020000,6.624076,8.787049,0.416957,2.302601,6.466252,-2.774503,0.019500
0.020000,6.672681,8.788038,0.465572,2.430748,6.407362,-2.944487,0.021156
0.020000,6.723822,8.789161,0.516725,2.557649,6.345064,-3.114880,0.022754
0.020000,6.777472,8.790424,0.570390,2.683237,6.279388,-3.283826,0.024270
0.020000,6.833603,8.791827,0.626539,2.807443,6.210303,-3.454234,0.025677
0.020000,6.892187,8.793370,0.685143,2.930200,6.137832,-3.623562,0.026950
0.020000,6.953192,8.795049,0.746172,3.051439,6.061967,-3.793240,0.028060
0.020000,7.016588,8.796859,0.809593,3.171092,5.982660,-3.965370,0.028978
0.020000,7.082342,8.798789,0.875375,3.289091,5.899924,-4.136789,0.029673
0.020000,7.150419,8.800826,0.943483,3.405365,5.813700,-4.311182,0.030114
0.020000,7.220784,8.802953,1.013879,3.519844,5.723969,-4.486564,0.030267
0.020000,7.293400,8.805148,1.086529,3.632457,5.630665,-4.665176,0.030098
0.020000,7.368229,8.807383,1.161391,3.743132,5.533744,-4.846071,0.029572
0.020000,7.445232,8.809628,1.238427,3.851795,5.433138,-5.030311,0.028650
0.020000,7.524368,8.811845,1.317595,3.958371,5.328792,-5.217314,0.027295
0.020000,7.605596,8.813991,1.398850,4.062784,5.220645,-5.407352,0.025467
0.020000,7.688870,8.816018,1.482149,4.164957,5.108634,-5.600530,0.023123
0.020000,7.774146,8.817870,1.567446,4.264811,4.992744,-5.794513,0.020222
0.020000,7.861377,8.819486,1.654691,4.362271,4.872960,-5.989204,0.016720
0.020000,7.950512,8.820795,1.743836,4.457257,4.749325,-6.181747,0.012570
0.020000,8.041501,8.821724,1.834830,4.549696,4.621951,-6.368702,0.007725
0.020000,8.134291,8.822186,1.927620,4.639516,4.490999,-6.547567,0.002138
0.020000,8.228824,8.822092,2.022153,4.726652,4.356799,-6.709993,6.278943
0.020000,8.325042,8.821343,2.118374,4.811047,4.219770,-6.851486,6.271721
0.020000,8.422883,8.819830,2.216228,4.892659,4.080565,-6.960241,6.263604
0.020000,8.522284,8.817440,2.315657,4.971459,3.940014,-7.027519,6.254540
0.020000,8.623175,8.814048,2.416606,5.047445,3.799283,-7.036575,6.244479
0.020000,8.725488,8.809524,2.519018,5.120641,3.659822,-6.973068,6.233368
0.020000,8.829149,8.803730,2.622841,5.191112,3.523526,-6.814804,6.221157
0.020000,8.934080,8.796518,2.728020,5.258965,3.392684,-6.542082,6.207798
0.020000,9.040205,8.787734,2.834507,5.324369,3.270170,-6.125697,6.193245
0.020000,9.147442,8.777219,2.942258,5.387553,3.159219,-5.547526,6.177458
0.020000,9.255709,8.764805,3.051235,5.448833,3.063990,-4.761478,6.160401
0.020000,9.364925,8.750318,3.161407,5.508606,2.988640,-3.767482,6.142047
0.020000,9.475007,8.733582,3.272755,5.567376,2.938509,-2.506579,6.122378
0.020000,9.585877,8.714412,3.385270,5.625746,2.918502,-1.000327,6.101385
0.020000,9.689665,8.694124,3.491022,5.287605,-16.907054,-991.277813,6.076597
0.020000,9.795218,8.670348,3.599219,5.409882,6.113875,1151.046453,6.046818
0.020000,9.902815,8.642734,3.710304,5.554209,7.216312,55.121870,6.017303
0.020000,10.012540,8.611120,3.824492,5.709423,7.760719,27.220343,5.988253
0.020000,10.124477,8.575355,3.942004,5.875594,8.308563,27.392172,5.959869
0.020000,10.238710,8.535303,4.063055,6.052550,8.847793,26.961497,5.932350
0.020000,10.355321,8.490846,4.187853,6.239899,9.367449,25.982830,5.905890
0.020000,10.474391,8.441890,4.316595,6.437096,9.859834,24.619227,5.880668
0.020000,10.596003,8.388366,4.449464,6.643456,10.318003,22.908444,5.856855
0.020000,10.720240,8.330234,4.586629,6.858238,10.739090,21.054358,5.834606
0.020000,10.847193,8.267485,4.728242,7.080680,11.122120,19.151504,5.814062
0.020000,10.976961,8.200143,4.874444,7.310063,11.469140,17.351024,5.795352
0.020000,11.109659,8.128264,5.025358,7.545743,11.784008,15.743394,5.778591
0.020000,11.245419,8.051940,5.181102,7.787193,12.072502,14.424680,5.763886
0.020000,11.384396,7.971295,5.341783,8.034018,12.341248,13.437286,5.751336
0.020000,11.526772,7.886489,5.507502,8.285975,12.597855,12.830367,5.741037
0.020000,11.672759,7.797716,5.678362,8.542975,12.849975,12.605989,5.733081
0.020000,11.822605,7.705207,5.854463,8.805077,13.105123,12.757408,5.727563
0.020000,11.976596,7.609233,6.035913,9.072485,13.370391,13.263417,5.724580
0.020000,12.135055,7.510107,6.222823,9.345519,13.651719,14.066413,5.724237
0.020000,12.298352,7.408189,6.415315,9.624597,13.953892,15.108610,5.726645
0.020000,12.466896,7.303893,6.613519,9.910189,14.279610,16.285926,5.731924
0.020000,12.641140,7.197696,6.817574,10.202772,14.629122,17.475588,5.740204
0.020000,12.821574,7.090148,7.027629,10.502750,14.998910,18.489400,5.751622
0.020000,13.008722,6.981883,7.243837,10.810372,15.381107,19.109873,5.766319
0.020000,13.203129,6.873635,7.466349,11.125604,15.761621,19.025676,5.784435
0.020000,13.405345,6.766252,7.695309,11.447978,16.118687,17.853301,5.806103
0.020000,13.615900,6.660706,7.930837,11.776410,16.421615,15.146392,5.831435
0.020000,13.835274,6.558109,8.173017,12.109009,16.629946,10.416558,5.860509
0.020000,14.032240,6.471670,8.388115,10.754900,-67.705465,-4216.770536,5.866637
0.020000,14.211614,6.390356,8.585059,9.847212,-45.384404,1116.053038,5.849146
0.020000,14.395285,6.303564,8.788204,10.157248,15.501809,3044.310666,5.834978
0.020000,14.583523,6.211727,8.997650,10.472274,15.751284,12.473717,5.824223
0.020000,14.776654,6.115342,9.213496,10.792310,16.001823,12.526967,5.816975
0.020000,14.975065,6.014969,9.435851,11.117751,16.272049,13.511283,5.813335
0.020000,15.179208,5.911239,9.664837,11.449290,16.576917,15.243436,5.813413
0.020000,15.389601,5.804862,9.900593,11.787823,16.926679,17.488100,5.817341
0.020000,15.606823,5.696643,10.143280,12.134345,17.326070,19.969543,5.825265
0.020000,15.830807,5.587832,10.392295,12.450753,15.820424,-75.282329,5.837307
0.020000,16.060173,5.480375,10.645584,12.664471,10.685911,-256.725618,5.853450
0.020000,16.293503,5.376177,10.901124,12.776971,5.624989,-253.046120,5.873548
0.020000,16.530479,5.276548,11.158191,12.853369,3.819892,-90.254826,5.897459
0.020000,16.771228,5.182555,11.416638,12.922359,3.449503,-18.519446,5.925047
0.020000,17.015750,5.095269,11.676272,12.981668,2.965446,-24.202871,5.956133
0.020000,17.263885,5.015749,11.936838,13.028296,2.331426,-31.701017,5.990483
0.020000,17.515297,4.945011,12.198011,13.058681,1.519205,-40.611038,6.027798
0.020000,17.769453,4.883990,12.459390,13.068949,0.513420,-50.289257,6.067705
