dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,6.490585,18.148776,0.200000,2.000000,10.000000,50.000000,0.011549
0.200000,7.067757,18.162938,0.777346,2.886730,4.433649,-27.831754,0.034191
0.200000,8.071830,18.199321,1.782078,5.023659,10.684646,31.254983,0.029456
0.200000,9.567244,18.183723,3.277574,7.477480,12.269104,7.922293,6.216556
0.200000,11.584850,17.794094,5.332457,10.274415,13.984674,8.577850,5.950800
0.200000,13.525026,16.922715,7.459329,10.634361,1.799730,-60.924723,5.822271
0.200000,15.142321,16.237348,9.215851,8.782611,-9.258749,-55.292393,5.943100
0.200000,16.606793,15.701742,10.775194,7.796715,-4.929482,21.646335,5.950571
0.200000,17.613945,15.409056,11.824012,5.244092,-12.763112,-39.168152,6.067995
0.200000,18.245840,15.310142,12.463603,3.197952,-10.230702,12.662051,6.194823
0.200000,18.540771,15.294435,12.758952,1.476744,-8.606042,8.123298,6.266260
0.200000,18.607267,15.293871,12.825450,0.332490,-5.721267,14.423877,6.283185
0.200000,18.607267,15.293871,12.825450,0.000000,-1.662451,20.294076,6.283185
