dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.229511,13.308945,0.000656,0.065562,3.278122,163.906125,3.141542
0.020000,17.229550,13.308945,0.000695,0.001951,-3.180567,-322.934467,3.141578
0.020000,17.225482,13.308945,0.004763,0.203428,10.073861,662.721396,3.141648
0.020000,17.217725,13.308944,0.012520,0.387815,9.219326,-42.726764,3.141751
0.020000,17.207377,13.308942,0.022868,0.517429,6.480723,-136.930160,3.141882
0.020000,17.194430,13.308937,0.035815,0.647337,6.495380,0.732886,3.142035
0.020000,17.178878,13.308929,0.051367,0.777611,6.513715,0.916723,3.142203
0.020000,17.160711,13.308916,0.069534,0.908326,6.535719,1.100235,3.142380
0.020000,17.139920,13.308898,0.090325,1.039553,6.561345,1.281292,3.142554
0.020000,17.116493,13.308873,0.113752,1.171366,6.590660,1.465755,3.142716
0.020000,17.090416,13.308842,0.139829,1.303838,6.623595,1.646745,3.142852
0.020000,17.061675,13.308805,0.168570,1.437042,6.660197,1.830092,3.142951
0.020000,17.030254,13.308761,0.199991,1.571051,6.700460,2.013165,3.142996
0.020000,16.996136,13.308713,0.234109,1.705938,6.744385,2.196228,3.142972
0.020000,16.959300,13.308664,0.270945,1.841778,6.791995,2.380512,3.142861
0.020000,16.919727,13.308618,0.310518,1.978645,6.843322,2.566359,3.142643
0.020000,16.877395,13.308580,0.352850,2.116613,6.898396,2.753662,3.142300
0.020000,16.832280,13.308559,0.397965,2.255757,6.957223,2.941383,3.141808
0.020000,16.784357,13.308564,0.445888,2.396156,7.019928,3.135215,3.141145
0.020000,16.733599,13.308608,0.496646,2.537885,7.086486,3.327917,3.140286
0.020000,16.679979,13.308706,0.550267,2.681027,7.157092,3.530319,3.139206
0.020000,16.623466,13.308878,0.606780,2.825662,7.231744,3.732587,3.137876
0.020000,16.564029,13.309145,0.666217,2.971873,7.310531,3.939333,3.136267
0.020000,16.501635,13.309536,0.728612,3.119747,7.393710,4.158950,3.134350
0.020000,16.436250,13.310082,0.794000,3.269372,7.481259,4.377459,3.132090
0.020000,16.367837,13.310821,0.862416,3.420842,7.573514,4.612755,3.129455
0.020000,16.296359,13.311796,0.933902,3.574252,7.670496,4.849072,3.126409
0.020000,16.221775,13.313057,1.008496,3.729699,7.772338,5.092124,3.122914
0.020000,16.144046,13.314661,1.086241,3.887288,7.879450,5.355612,3.118930
0.020000,16.063129,13.316676,1.167184,4.047122,7.991708,5.612880,3.114416
0.020000,15.978979,13.319175,1.251370,4.209315,8.109656,5.897395,3.109329
0.020000,15.891554,13.322243,1.338850,4.373976,8.233020,6.168201,3.103622
0.020000,15.800806,13.325977,1.429674,4.541217,8.362052,6.451622,3.097249
0.020000,15.706691,13.330483,1.523897,4.711156,8.496971,6.745935,3.090159
0.020000,15.609162,13.335884,1.621575,4.883907,8.637518,7.027362,3.082300
0.020000,15.508175,13.342314,1.722767,5.059573,8.783311,7.289647,3.073619
0.020000,15.403687,13.349925,1.827532,5.238262,8.934462,7.557561,3.064060
0.020000,15.295656,13.358882,1.935933,5.420061,9.089934,7.773591,3.053565
0.020000,15.184047,13.369373,2.048034,5.605045,9.249228,7.964674,3.042076
0.020000,15.068829,13.381601,2.163899,5.793262,9.410847,8.080967,3.029533
0.020000,14.949979,13.395791,2.283594,5.984722,9.573006,8.107941,3.015875
0.020000,14.827483,13.412188,2.407182,6.179403,9.734021,8.050781,3.001044
0.020000,14.701343,13.431061,2.534726,6.377214,9.890539,7.825890,2.984982
0.020000,14.571575,13.452699,2.666286,6.577998,10.039237,7.434898,2.967634
0.020000,14.438215,13.477412,2.801916,6.781516,10.175883,6.832318,2.948948
0.020000,14.301325,13.505533,2.941665,6.987420,10.295222,5.966951,2.928882
0.020000,14.160996,13.537412,3.085570,7.195245,10.391236,4.800692,2.907400
0.020000,14.017351,13.573417,3.233657,7.404389,10.457177,3.297055,2.884476
0.020000,13.870555,13.613923,3.385940,7.614108,10.485943,1.438255,2.860102
0.020000,13.720815,13.659316,3.542409,7.823497,10.469456,-0.824330,2.834281
0.020000,13.568383,13.709978,3.703040,8.031505,10.400437,-3.450936,2.807041
0.020000,13.413564,13.766282,3.867779,8.236949,10.272157,-6.414020,2.778428
0.020000,13.256713,13.828581,4.036549,8.438517,10.078444,-9.685660,2.748514
0.020000,13.098233,13.897197,4.209246,8.634857,9.816978,-13.073271,2.717396
0.020000,12.938572,13.972415,4.385738,8.824584,9.486367,-16.530569,2.685195
0.020000,12.778217,14.054466,4.565866,9.006391,9.090353,-19.800699,2.652058
0.020000,12.617683,14.143523,4.749448,9.179099,8.635394,-22.747951,2.618152
0.020000,12.457500,14.239692,4.936282,9.341707,8.130370,-25.251186,2.583665
0.020000,12.290667,14.349250,5.135872,9.979518,31.890579,1188.010433,2.534129
0.020000,12.113229,14.480771,5.356738,11.043321,53.190135,1064.977809,2.473045
