dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.229566,14.392278,0.000656,0.065562,3.278122,163.906125,3.141542
0.020000,17.229566,14.392278,0.003278,0.196687,6.556245,163.906125,3.141578
0.020000,17.225421,14.392278,0.008523,0.327812,6.556245,0.000000,3.141648
0.020000,17.217554,14.392277,0.016391,0.458937,6.556245,-0.000000,3.141751
0.020000,17.207064,14.392275,0.026881,0.590062,6.556245,-0.000000,3.141882
0.020000,17.193951,14.392270,0.039993,0.721187,6.556245,0.000000,3.142035
0.020000,17.178216,14.392262,0.055728,0.852312,6.556245,-0.000000,3.142203
0.020000,17.159859,14.392249,0.074086,0.983437,6.556245,0.000000,3.142380
0.020000,17.138879,14.392231,0.095066,1.114562,6.556245,-0.000000,3.142554
0.020000,17.115276,14.392206,0.118668,1.245687,6.556245,0.000000,3.142716
0.020000,17.089051,14.392175,0.144893,1.376811,6.556245,-0.000000,3.142852
0.020000,17.060204,14.392137,0.173740,1.507936,6.556245,0.000000,3.142951
0.020000,17.028734,14.392093,0.205210,1.639061,6.556245,-0.000000,3.142996
0.020000,16.994641,14.392046,0.239303,1.770186,6.556245,-0.000000,3.142972
0.020000,16.957927,14.391997,0.276018,1.901311,6.556245,0.000000,3.142861
0.020000,16.918589,14.391951,0.315355,2.032436,6.556245,0.000000,3.142643
0.020000,16.876629,14.391914,0.357315,2.163561,6.556245,-0.000000,3.142300
0.020000,16.832047,14.391893,0.401898,2.294686,6.556245,0.000000,3.141808
0.020000,16.784842,14.391897,0.449103,2.425811,6.556245,-0.000000,3.141145
0.020000,16.735014,14.391940,0.498930,2.556936,6.556245,0.000000,3.140286
0.020000,16.682564,14.392037,0.551380,2.688060,6.556245,-0.000000,3.139206
0.020000,16.627492,14.392204,0.606453,2.819185,6.556245,0.000000,3.137876
0.020000,16.569798,14.392463,0.664148,2.950310,6.556245,-0.000000,3.136267
0.020000,16.509482,14.392841,0.724465,3.081435,6.556245,0.000000,3.134350
0.020000,16.446544,14.393367,0.787405,3.212560,6.556245,0.000000,3.132090
