dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,17.229622,15.475612,0.000656,0.065562,3.278122,163.906125,3.141542
0.020000,17.229583,15.475612,0.000695,0.001951,-3.180567,-322.934467,3.141578
0.020000,17.225361,15.475612,0.004916,0.211086,10.456743,681.865513,3.141648
0.020000,17.217382,15.475611,0.012895,0.398934,9.392413,-53.216508,3.141751
0.020000,17.206751,15.475608,0.023526,0.531570,6.631792,-138.031047,3.141882
0.020000,17.193473,15.475604,0.036805,0.663912,6.617102,-0.734502,3.142035
0.020000,17.177555,15.475595,0.052722,0.795887,6.598768,-0.916731,3.142203
0.020000,17.159006,15.475582,0.071271,0.927423,6.576789,-1.098909,3.142380
0.020000,17.137837,15.475564,0.092440,1.058446,6.551125,-1.283248,3.142554
0.020000,17.114060,15.475539,0.116217,1.188883,6.521847,-1.463870,3.142716
0.020000,17.087687,15.475507,0.142591,1.318660,6.488888,-1.647976,3.142852
0.020000,17.058732,15.475469,0.171545,1.447706,6.452290,-1.829897,3.142951
0.020000,17.027214,15.475426,0.203064,1.575947,6.412036,-2.012687,3.142996
0.020000,16.993147,15.475378,0.237130,1.703309,6.368105,-2.196547,3.142972
0.020000,16.956553,15.475329,0.273724,1.829719,6.320488,-2.380833,3.142861
0.020000,16.917451,15.475284,0.312826,1.955102,6.269170,-2.565934,3.142643
0.020000,16.875863,15.475247,0.354414,2.079385,6.214113,-2.752810,3.142300
0.020000,16.831814,15.475226,0.398464,2.202489,6.155245,-2.943443,3.141808
0.020000,16.785327,15.475231,0.444951,2.324341,6.092577,-3.133364,3.141145
0.020000,16.736430,15.475273,0.493848,2.444860,6.025960,-3.330885,3.140286
0.020000,16.685150,15.475367,0.545127,2.563969,5.955423,-3.526841,3.139206
0.020000,16.631519,15.475530,0.598759,2.681584,5.880779,-3.732200,3.137876
0.020000,16.575567,15.475781,0.654711,2.797622,5.801900,-3.943913,3.136267
0.020000,16.517328,15.476146,0.712951,2.911998,5.718788,-4.155632,3.134350
0.020000,16.456838,15.476651,0.773444,3.024621,5.631147,-4.382021,3.132090
0.020000,16.394133,15.477328,0.836152,3.135401,5.538993,-4.607717,3.129455
0.020000,16.329255,15.478213,0.901037,3.244241,5.442021,-4.848589,3.126409
0.020000,16.262243,15.479345,0.968057,3.351042,5.340022,-5.099979,3.122914
0.020000,16.193144,15.480772,1.037171,3.455702,5.233022,-5.350001,3.118930
0.020000,16.122004,15.482542,1.108334,3.558114,5.120575,-5.622311,3.114416
0.020000,16.048873,15.484714,1.181497,3.658171,5.002858,-5.885879,3.109329
0.020000,15.973804,15.487348,1.256612,3.755758,4.879370,-6.174403,3.103622
0.020000,15.896854,15.490513,1.333628,3.850761,4.750161,-6.460425,3.097249
0.020000,15.818082,15.494285,1.412489,3.943069,4.615364,-6.739882,3.090159
0.020000,15.737554,15.498743,1.493140,4.032566,4.474875,-7.024424,3.082300
0.020000,15.655338,15.503977,1.575523,4.119141,4.328738,-7.306867,3.073619
0.020000,15.571506,15.510082,1.659577,4.202695,4.177710,-7.551417,3.064060
0.020000,15.486136,15.517160,1.745240,4.283135,4.022011,-7.784948,3.053565
0.020000,15.399311,15.525320,1.832447,4.360392,3.862815,-7.959762,3.042076
0.020000,15.311118,15.534678,1.921136,4.434414,3.701143,-8.083640,3.029533
0.020000,15.221649,15.545358,2.011239,4.505186,3.538581,-8.128091,3.015875
0.020000,15.131003,15.557490,2.102694,4.572740,3.377720,-8.043054,3.001044
0.020000,15.039280,15.571211,2.195437,4.637160,3.220973,-7.837315,2.984982
0.020000,14.946588,15.586664,2.289409,4.698601,3.072034,-7.446954,2.967634
0.020000,14.853034,15.603998,2.384556,4.757306,2.935281,-6.837676,2.948948
0.020000,14.758730,15.623368,2.480828,4.813622,2.815791,-5.974479,2.928882
0.020000,14.663788,15.644933,2.578188,4.868013,2.719537,-4.812683,2.907400
0.020000,14.568319,15.668859,2.676610,4.921078,2.653284,-3.312673,2.884476
0.020000,14.472430,15.695315,2.776081,4.973569,2.624552,-1.436602,2.860102
0.020000,14.376225,15.724475,2.876609,5.026384,2.640737,0.809269,2.834281
0.020000,14.279798,15.756520,2.978220,5.080576,2.709575,3.441864,2.807041
0.020000,14.183238,15.791633,3.080967,5.137336,2.838017,6.422094,2.778428
0.020000,14.086619,15.830005,3.184926,5.197959,3.031139,9.656129,2.748514
0.020000,13.990009,15.871832,3.290203,5.263818,3.292958,13.090969,2.717396
0.020000,13.893460,15.917315,3.396928,5.336286,3.623408,16.522500,2.685195
0.020000,13.797018,15.966661,3.505262,5.416685,4.019962,19.827680,2.652058
0.020000,13.700719,16.020082,3.615386,5.506197,4.475580,22.780875,2.618152
0.020000,13.604597,16.077792,3.727501,5.605769,4.978587,25.150349,2.583665
0.020000,13.527372,16.128296,3.819775,4.613658,-49.605528,-2729.205714,2.534129
0.020000,13.456230,16.181004,3.908314,4.426975,-9.334154,2013.568683,2.473045
0.020000,13.389190,16.237521,3.995999,4.384233,-2.137094,359.853001,2.408753
0.020000,13.325852,16.298450,4.083885,4.394306,0.503661,132.037776,2.342227
0.020000,13.265689,16.364663,4.173349,4.473193,3.944349,172.034355,2.274737
0.020000,13.208157,16.437266,4.265983,4.631730,7.926826,199.123858,2.207754
0.020000,13.152814,16.517482,4.363438,4.872744,12.050683,206.192884,2.142799
