dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.207965,9.865549,0.000651,0.065133,3.256652,162.832619,6.282702
0.020000,6.207965,9.865549,0.003257,0.195399,6.513305,162.832619,6.283054
0.020000,6.212198,9.865550,0.008467,0.325665,6.513305,0.000000,0.000569
0.020000,6.220014,9.865559,0.016283,0.455931,6.513305,-0.000000,0.001616
0.020000,6.230436,9.865583,0.026705,0.586197,6.513305,0.000000,0.003003
0.020000,6.243462,9.865633,0.039731,0.716464,6.513305,-0.000000,0.004725
0.020000,6.259094,9.865723,0.055363,0.846730,6.513305,0.000000,0.006771
0.020000,6.277330,9.865868,0.073600,0.976996,6.513305,-0.000000,0.009131
0.020000,6.298172,9.866086,0.094443,1.107262,6.513305,0.000000,0.011793
0.020000,6.321618,9.866398,0.117891,1.237528,6.513305,-0.000000,0.014742
0.020000,6.347667,9.866824,0.143944,1.367794,6.513305,0.000000,0.017963
0.020000,6.376320,9.867388,0.172603,1.498060,6.513305,0.000000,0.021437
0.020000,6.407576,9.868117,0.203866,1.628326,6.513305,-0.000000,0.025145
0.020000,6.441432,9.869035,0.237736,1.758592,6.513305,0.000000,0.029065
0.020000,6.477889,9.870170,0.274210,1.888858,6.513305,-0.000000,0.033174
0.020000,6.516945,9.871550,0.313290,2.019124,6.513305,0.000000,0.037447
0.020000,6.558597,9.873203,0.354975,2.149391,6.513305,0.000000,0.041855
0.020000,6.602844,9.875157,0.399266,2.279657,6.513305,-0.000000,0.046372
0.020000,6.649684,9.877439,0.446161,2.409923,6.513305,0.000000,0.050965
0.020000,6.699115,9.880077,0.495662,2.540189,6.513305,0.000000,0.055603
0.020000,6.751134,9.883094,0.547769,2.670455,6.513305,0.000000,0.060250
0.020000,6.805739,9.886516,0.602481,2.800721,6.513305,-0.000000,0.064873
0.020000,6.862926,9.890363,0.659798,2.930987,6.513305,0.000000,0.069431
0.020000,6.922695,9.894655,0.719720,3.061253,6.513305,-0.000000,0.073888
0.020000,6.985042,9.899408,0.782248,3.191519,6.513305,0.000000,0.078201
0.020000,7.049965,9.904632,0.847381,3.321785,6.513305,-0.000000,0.082329
0.020000,7.117463,9.910336,0.915119,3.452052,6.513305,0.000000,0.086226
0.020000,7.187534,9.916524,0.985463,3.582318,6.513305,0.000000,0.089849
0.020000,7.260177,9.923192,1.058412,3.712584,6.513305,0.000000,0.093148
0.020000,7.335393,9.930333,1.133966,3.842850,6.513305,-0.000000,0.096076
0.020000,7.413183,9.937931,1.212126,3.973116,6.513305,0.000000,0.098582
0.020000,7.493547,9.945966,1.292891,4.103382,6.513305,0.000000,0.100614
0.020000,7.576489,9.954406,1.376261,4.233648,6.513305,-0.000000,0.102117
0.020000,7.662012,9.963215,1.462237,4.363914,6.513305,0.000000,0.103037
0.020000,7.750122,9.972343,1.550818,4.494180,6.513305,0.000000,0.103315
0.020000,7.840823,9.981733,1.642004,4.624446,6.513305,-0.000000,0.102891
0.020000,7.934124,9.991317,1.735796,4.754712,6.513305,0.000000,0.101703
0.020000,8.030032,10.001014,1.832193,4.884979,6.513305,0.000000,0.099688
0.020000,8.128556,10.010730,1.931195,5.015245,6.513305,0.000000,0.096778
0.020000,8.229706,10.020360,2.032802,5.145511,6.513305,-0.000000,0.092905
0.020000,8.333492,10.029782,2.137015,5.275777,6.513305,0.000000,0.087997
0.020000,8.439924,10.038858,2.243833,5.406043,6.513305,0.000000,0.081979
0.020000,8.549010,10.047435,2.353257,5.536309,6.513305,0.000000,0.074777
0.020000,8.660760,10.055342,2.465286,5.666575,6.513305,-0.000000,0.066311
0.020000,8.775176,10.062388,2.579920,5.796841,6.513305,0.000000,0.056503
0.020000,8.892263,10.068363,2.697160,5.927107,6.513305,0.000000,0.045270
0.020000,9.012016,10.073036,2.817004,6.057373,6.513305,-0.000000,0.032534
0.020000,9.134425,10.076157,2.939454,6.187640,6.513305,0.000000,0.018216
0.020000,9.259473,10.077450,3.064510,6.317906,6.513305,-0.000000,0.002239
0.020000,9.387129,10.076621,3.192171,6.448172,6.513305,0.000000,6.267721
0.020000,9.517352,10.073352,3.322437,6.578438,6.513305,0.000000,6.248227
0.020000,9.650083,10.067308,3.455308,6.708704,6.513305,-0.000000,6.226896
0.020000,9.785246,10.058134,3.590785,6.838970,6.513305,0.000000,6.203694
0.020000,9.922742,10.045460,3.728867,6.969236,6.513305,0.000000,6.178608
0.020000,10.062447,10.028906,3.869554,7.099502,6.513305,-0.000000,6.151649
0.020000,10.204214,10.008085,4.012847,7.229768,6.513305,0.000000,6.122861
0.020000,10.347866,9.982613,4.158745,7.360034,6.513305,-0.000000,6.092317
0.020000,10.487945,9.953260,4.307248,7.490300,6.513305,-0.000000,6.059815
0.020000,10.634641,9.917043,4.458357,7.620567,6.513305,0.000000,6.022582
0.020000,10.782393,9.874682,4.612071,7.750833,6.513305,-0.000000,5.985526
0.020000,10.930963,9.826101,4.768390,7.881099,6.513305,0.000000,5.948986
0.020000,11.080125,9.771284,4.927315,8.011365,6.513305,0.000000,5.913303
0.020000,11.229684,9.710281,5.088845,8.141631,6.513305,-0.000000,5.878814
0.020000,11.379478,9.643200,5.252980,8.271897,6.513305,-0.000000,5.845835
0.020000,11.529384,9.570205,5.419721,8.402163,6.513305,0.000000,5.814657
0.020000,11.679329,9.491512,5.589067,8.532429,6.513305,-0.000000,5.785542
0.020000,11.829285,9.407378,5.761018,8.662695,6.513305,0.000000,5.758715
0.020000,11.979279,9.318101,5.935575,8.792961,6.513305,-0.000000,5.734373
0.020000,12.129385,9.224010,6.112737,8.923228,6.513305,0.000000,5.712681
0.020000,12.279731,9.125462,6.292504,9.053494,6.513305,0.000000,5.693782
0.020000,12.430488,9.022840,6.474876,9.183760,6.513305,-0.000000,5.677799
0.020000,12.581877,8.916550,6.659854,9.314026,6.513305,0.000000,5.664846
0.020000,12.734161,8.807021,6.847437,9.444292,6.513305,0.000000,5.655031
0.020000,12.887645,8.694708,7.037626,9.574558,6.513305,0.000000,5.648463
0.020000,13.042673,8.580097,7.230420,9.704824,6.513305,0.000000,5.645259
0.020000,13.199626,8.463707,7.425819,9.835090,6.513305,0.000000,5.645548
0.020000,13.358919,8.346099,7.623823,9.965356,6.513305,-0.000000,5.649473
0.020000,13.520997,8.227884,7.824433,10.095622,6.513305,0.000000,5.657195
