dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,6.207442,8.782216,0.000651,0.065133,3.256652,162.832619,6.282702
0.020000,6.207822,8.782216,0.001032,0.019028,-2.305275,-278.096352,6.283054
0.020000,6.212815,8.782217,0.006025,0.249635,11.530352,691.781308,0.000569
0.020000,6.221765,8.782227,0.014975,0.447500,9.893249,-81.855119,0.001616
0.020000,6.233689,8.782255,0.026899,0.596221,7.436060,-122.859473,0.003003
0.020000,6.248580,8.782312,0.041790,0.744560,7.416940,-0.955966,0.004725
0.020000,6.266428,8.782415,0.059639,0.892419,7.392987,-1.197680,0.006771
0.020000,6.287222,8.782580,0.080433,1.039704,7.364212,-1.438715,0.009131
0.020000,6.310947,8.782828,0.104159,1.186313,7.330496,-1.685824,0.011793
0.020000,6.337588,8.783182,0.130802,1.332152,7.291902,-1.929675,0.014742
0.020000,6.367126,8.783665,0.160344,1.477119,7.248362,-2.177028,0.017963
0.020000,6.399542,8.784304,0.192767,1.621116,7.199861,-2.425053,0.021437
0.020000,6.434813,8.785126,0.228047,1.764043,7.146373,-2.674417,0.025145
0.020000,6.472915,8.786159,0.266164,1.905802,7.087912,-2.923039,0.029065
0.020000,6.513821,8.787433,0.307089,2.046291,7.024468,-3.172168,0.033174
0.020000,6.557502,8.788976,0.350798,2.185412,6.956071,-3.419864,0.037447
0.020000,6.603927,8.790819,0.397259,2.323067,6.882716,-3.667768,0.041855
0.020000,6.653062,8.792988,0.446442,2.459157,6.804491,-3.911249,0.046372
0.020000,6.704873,8.795513,0.498314,2.593585,6.721421,-4.153485,0.050965
0.020000,6.759320,8.798417,0.552839,2.726257,6.633577,-4.392187,0.055603
0.020000,6.816366,8.801727,0.609980,2.857076,6.540980,-4.629844,0.060250
0.020000,6.875968,8.805461,0.669699,2.985953,6.443826,-4.857725,0.064873
0.020000,6.938084,8.809640,0.731955,3.112794,6.342073,-5.087641,0.069431
0.020000,7.002667,8.814278,0.796706,3.237511,6.235853,-5.311026,0.073888
0.020000,7.069673,8.819385,0.863906,3.360015,6.125196,-5.532838,0.078201
0.020000,7.139054,8.824968,0.933510,3.480220,6.010266,-5.746489,0.082329
0.020000,7.210759,8.831028,1.005471,3.598039,5.890935,-5.966546,0.086226
0.020000,7.284739,8.837560,1.079739,3.713386,5.767326,-6.180436,0.089849
0.020000,7.360942,8.844555,1.156262,3.826174,5.639435,-6.394561,0.093148
0.020000,7.439316,8.851995,1.234989,3.936316,5.507096,-6.616949,0.096076
0.020000,7.519807,8.859858,1.315863,4.043723,5.370346,-6.837489,0.098582
0.020000,7.602362,8.868111,1.398829,4.148302,5.228932,-7.070700,0.100614
0.020000,7.686924,8.876717,1.483828,4.249957,5.082765,-7.308392,0.102117
0.020000,7.773438,8.885627,1.570800,4.348589,4.931586,-7.558953,0.103037
0.020000,7.861847,8.894786,1.659682,4.444091,4.775116,-7.823457,0.103315
0.020000,7.952091,8.904129,1.750409,4.536353,4.613109,-8.100373,0.102891
0.020000,8.044112,8.913581,1.842914,4.625258,4.445234,-8.393732,0.101703
0.020000,8.137848,8.923059,1.937128,4.710682,4.271202,-8.701635,0.099688
0.020000,8.233235,8.932466,2.032978,4.792498,4.090782,-9.020995,0.096778
0.020000,8.330208,8.941699,2.130389,4.870572,3.903723,-9.352944,0.092905
0.020000,8.428699,8.950640,2.229285,4.944772,3.710014,-9.685446,0.087997
0.020000,8.528635,8.959163,2.329584,5.014968,3.509798,-10.010781,0.081979
0.020000,8.629943,8.967129,2.431205,5.081036,3.303385,-10.320650,0.074777
0.020000,8.732544,8.974389,2.534062,5.142869,3.091644,-10.587066,0.066311
0.020000,8.836355,8.980783,2.638070,5.200384,2.875731,-10.795659,0.056503
0.020000,8.941289,8.986139,2.743140,5.253537,2.657645,-10.904310,0.045270
0.020000,9.047255,8.990276,2.849187,5.302338,2.440076,-10.878438,0.032534
0.020000,9.154158,8.993003,2.956125,5.346872,2.226686,-10.669515,0.018216
0.020000,9.261899,8.994119,3.063871,5.387320,2.022436,-10.212464,0.002239
0.020000,9.370376,8.993417,3.172351,5.423991,1.833532,-9.445234,6.267721
0.020000,9.479489,8.990681,3.281498,5.457346,1.667737,-8.289709,6.248227
0.020000,9.589136,8.985691,3.391258,5.488035,1.534434,-6.665183,6.226896
