dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.649379,17.344493,0.000652,0.065190,3.259520,162.975989,0.000128
0.020000,3.649379,17.344493,0.003260,0.195571,6.519040,162.975989,0.000088
0.020000,3.649379,17.344493,0.008475,0.325952,6.519040,0.000000,0.000009
0.020000,3.656590,17.344493,0.016298,0.456333,6.519040,-0.000000,6.283076
0.020000,3.667021,17.344491,0.026728,0.586714,6.519040,-0.000000,6.282917
0.020000,3.680059,17.344486,0.039766,0.717094,6.519040,0.000000,6.282718
0.020000,3.695705,17.344477,0.055412,0.847475,6.519040,-0.000000,6.282479
0.020000,3.713958,17.344461,0.073665,0.977856,6.519040,0.000000,6.282198
0.020000,3.734819,17.344437,0.094526,1.108237,6.519040,0.000000,6.281875
0.020000,3.758287,17.344402,0.117995,1.238618,6.519040,0.000000,6.281511
0.020000,3.784364,17.344353,0.144071,1.368998,6.519040,-0.000000,6.281103
0.020000,3.813047,17.344287,0.172755,1.499379,6.519040,-0.000000,6.280652
0.020000,3.844338,17.344200,0.204046,1.629760,6.519040,0.000000,6.280157
0.020000,3.878237,17.344088,0.237945,1.760141,6.519040,0.000000,6.279615
0.020000,3.914744,17.343947,0.274452,1.890521,6.519040,0.000000,6.279028
0.020000,3.953857,17.343772,0.313566,2.020902,6.519040,0.000000,6.278393
0.020000,3.995579,17.343558,0.355288,2.151283,6.519040,0.000000,6.277709
0.020000,4.039907,17.343299,0.399617,2.281664,6.519040,-0.000000,6.276975
0.020000,4.086844,17.342989,0.446554,2.412045,6.519040,0.000000,6.276191
0.020000,4.136387,17.342622,0.496099,2.542425,6.519040,0.000000,6.275353
0.020000,4.188537,17.342190,0.548251,2.672806,6.519040,-0.000000,6.274462
0.020000,4.243295,17.341687,0.603011,2.803187,6.519040,0.000000,6.273515
0.020000,4.300660,17.341103,0.660379,2.933568,6.519040,-0.000000,6.272510
0.020000,4.360631,17.340431,0.720354,3.063949,6.519040,0.000000,6.271447
0.020000,4.423209,17.339662,0.782937,3.194329,6.519040,-0.000000,6.270323
0.020000,4.488394,17.338785,0.848127,3.324710,6.519040,0.000000,6.269137
0.020000,4.556184,17.337790,0.915925,3.455091,6.519040,-0.000000,6.267886
0.020000,4.626581,17.336666,0.986331,3.585472,6.519040,0.000000,6.266568
0.020000,4.699583,17.335403,1.059344,3.715853,6.519040,0.000000,6.265182
0.020000,4.775191,17.333986,1.134965,3.846233,6.519040,-0.000000,6.263725
0.020000,4.853403,17.332404,1.213193,3.976614,6.519040,0.000000,6.262195
0.020000,4.934220,17.330643,1.294029,4.106995,6.519040,-0.000000,6.260590
0.020000,5.017641,17.328688,1.377473,4.237376,6.519040,0.000000,6.258906
0.020000,5.103665,17.326523,1.463524,4.367757,6.519040,-0.000000,6.257143
0.020000,5.192292,17.324133,1.552183,4.498137,6.519040,0.000000,6.255296
0.020000,5.283520,17.321500,1.643450,4.628518,6.519040,0.000000,6.253364
0.020000,5.377350,17.318606,1.737324,4.758899,6.519040,0.000000,6.251343
0.020000,5.473779,17.315433,1.833806,4.889280,6.519040,-0.000000,6.249231
0.020000,5.572808,17.311960,1.932895,5.019660,6.519040,0.000000,6.247025
0.020000,5.674434,17.308167,2.034592,5.150041,6.519040,0.000000,6.244722
0.020000,5.778657,17.304031,2.138897,5.280422,6.519040,0.000000,6.242318
0.020000,5.885474,17.299530,2.245809,5.410803,6.519040,-0.000000,6.239811
0.020000,5.994885,17.294638,2.355329,5.541184,6.519040,0.000000,6.237197
0.020000,6.106886,17.289332,2.467456,5.671564,6.519040,0.000000,6.234474
0.020000,6.221477,17.283583,2.582192,5.801945,6.519040,0.000000,6.231636
0.020000,6.338655,17.277364,2.699534,5.932326,6.519040,-0.000000,6.228682
0.020000,6.458417,17.270646,2.819485,6.062707,6.519040,0.000000,6.225608
0.020000,6.580761,17.263398,2.942043,6.193088,6.519040,0.000000,6.222409
0.020000,6.705682,17.255589,3.067208,6.323468,6.519040,0.000000,6.219083
0.020000,6.833179,17.247184,3.194981,6.453849,6.519040,0.000000,6.215625
0.020000,6.963246,17.238149,3.325362,6.584230,6.519040,-0.000000,6.212031
0.020000,7.095880,17.228448,3.458350,6.714611,6.519040,0.000000,6.208298
0.020000,7.231076,17.218041,3.593947,6.844992,6.519040,0.000000,6.204422
0.020000,7.368829,17.206891,3.732150,6.975372,6.519040,0.000000,6.200399
0.020000,7.509133,17.194955,3.872961,7.105753,6.519040,-0.000000,6.196224
0.020000,7.651983,17.182191,4.016380,7.236134,6.519040,0.000000,6.191893
0.020000,7.797371,17.168553,4.162407,7.366515,6.519040,0.000000,6.187403
0.020000,7.945290,17.153995,4.311041,7.496895,6.519040,0.000000,6.182749
0.020000,8.095733,17.138468,4.462283,7.627276,6.519040,-0.000000,6.177927
0.020000,8.248690,17.121923,4.616132,7.757657,6.519040,0.000000,6.172932
0.020000,8.404152,17.104308,4.772589,7.888038,6.519040,0.000000,6.167761
0.020000,8.562108,17.085567,4.931653,8.018419,6.519040,0.000000,6.162409
0.020000,8.722548,17.065645,5.093326,8.148799,6.519040,0.000000,6.156872
0.020000,8.885459,17.044485,5.257605,8.279180,6.519040,-0.000000,6.151145
0.020000,9.050828,17.022025,5.424493,8.409561,6.519040,0.000000,6.145225
0.020000,9.218640,16.998203,5.593988,8.539942,6.519040,0.000000,6.139108
0.020000,9.388881,16.972956,5.766090,8.670323,6.519040,0.000000,6.132788
0.020000,9.561533,16.946218,5.940801,8.800703,6.519040,0.000000,6.126264
0.020000,9.736577,16.917919,6.118119,8.931084,6.519040,0.000000,6.119529
0.020000,9.913996,16.887989,6.298044,9.061465,6.519040,0.000000,6.112582
0.020000,10.093767,16.856357,6.480577,9.191846,6.519040,0.000000,6.105417
0.020000,10.275868,16.822947,6.665718,9.322227,6.519040,0.000000,6.098033
0.020000,10.460274,16.787684,6.853466,9.452607,6.519040,-0.000000,6.090425
0.020000,10.646960,16.750488,7.043822,9.582988,6.519040,0.000000,6.082591
0.020000,10.835898,16.711280,7.236786,9.713369,6.519040,0.000000,6.074528
0.020000,11.026421,16.670117,7.431705,9.778559,3.259520,-162.975989,6.066261
0.020000,11.216719,16.627340,7.626753,9.726190,-2.618448,-293.898374,6.057868
0.020000,11.404996,16.583351,7.820101,9.608631,-5.877967,-162.975989,6.049433
0.020000,11.590486,16.538359,8.010970,9.478250,-6.519040,-32.053604,6.040996
0.020000,11.773060,16.492441,8.199231,9.347869,-6.519040,-0.000000,6.032570
0.020000,11.952719,16.445644,8.384884,9.217489,-6.519040,0.000000,6.024162
0.020000,12.129460,16.398020,8.567930,9.087108,-6.519040,0.000000,6.015780
0.020000,12.303285,16.349618,8.748369,8.956727,-6.519040,0.000000,6.007430
0.020000,12.474195,16.300490,8.926199,8.826346,-6.519040,0.000000,5.999120
0.020000,12.636579,16.252351,9.101423,8.695965,-6.519040,0.000000,5.989666
0.020000,12.801423,16.201145,9.274038,8.565585,-6.519040,0.000000,5.974483
0.020000,12.963021,16.148342,9.444046,8.435204,-6.519040,0.000000,5.960397
0.020000,13.121422,16.094198,9.611446,8.304823,-6.519040,0.000000,5.947384
0.020000,13.276678,16.038954,9.776239,8.174442,-6.519040,-0.000000,5.935418
0.020000,13.428844,15.982837,9.938424,8.044062,-6.519040,0.000000,5.924467
0.020000,13.577979,15.926060,10.098001,7.913681,-6.519040,0.000000,5.914498
0.020000,13.724140,15.868820,10.254971,7.783300,-6.519040,-0.000000,5.905476
0.020000,13.867385,15.811302,10.409333,7.652919,-6.519040,-0.000000,5.897365
0.020000,14.007773,15.753677,10.561088,7.522538,-6.519040,0.000000,5.890128
0.020000,14.145359,15.696103,10.710235,7.392158,-6.519040,0.000000,5.883729
0.020000,14.280198,15.638726,10.856774,7.261777,-6.519040,0.000000,5.878130
0.020000,14.412342,15.581680,11.000706,7.131396,-6.519040,-0.000000,5.873294
0.020000,14.541841,15.525088,11.142030,7.001015,-6.519040,0.000000,5.869186
0.020000,14.668740,15.469063,11.280747,6.870634,-6.519040,0.000000,5.865770
0.020000,14.793083,15.413707,11.416855,6.740254,-6.519040,0.000000,5.863010
0.020000,14.914912,15.359113,11.550357,6.609873,-6.519040,0.000000,5.860872
