dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.649517,16.261160,0.000652,0.065190,3.259520,162.975989,0.000128
0.020000,3.649474,16.261160,0.000695,0.002139,-3.152566,-320.604305,0.000088
0.020000,3.649389,16.261160,0.000780,0.004282,0.107158,162.986224,0.000009
0.020000,3.656472,16.261159,0.007863,0.354152,17.493484,869.316295,6.283076
0.020000,3.666730,16.261157,0.018122,0.512925,7.938671,-477.740635,6.282917
0.020000,3.679553,16.261153,0.030944,0.641127,6.410078,-76.429652,6.282718
0.020000,3.694939,16.261144,0.046331,0.769306,6.408932,-0.057337,6.282479
0.020000,3.712888,16.261129,0.064280,0.897461,6.407782,-0.057476,6.282198
0.020000,3.733400,16.261105,0.084792,1.025588,6.406333,-0.072441,6.281875
0.020000,3.756473,16.261071,0.107865,1.153680,6.404584,-0.087467,6.281511
0.020000,3.782108,16.261022,0.133500,1.281737,6.402857,-0.086369,6.281103
0.020000,3.810303,16.260957,0.161695,1.409750,6.400683,-0.108674,6.280652
0.020000,3.841057,16.260872,0.192449,1.537721,6.398510,-0.108655,6.280157
0.020000,3.874370,16.260762,0.225762,1.665638,6.395898,-0.130620,6.279615
0.020000,3.910240,16.260623,0.261632,1.793504,6.393283,-0.130742,6.279028
0.020000,3.948666,16.260451,0.300058,1.921312,6.390370,-0.145627,6.278393
0.020000,3.989646,16.260241,0.341039,2.049055,6.387196,-0.158704,6.277709
0.020000,4.033180,16.259987,0.384574,2.176734,6.383921,-0.163750,6.276975
0.020000,4.079266,16.259682,0.430661,2.304342,6.380418,-0.175148,6.276191
0.020000,4.127902,16.259322,0.479298,2.431874,6.376612,-0.190304,6.275353
0.020000,4.179087,16.258898,0.530485,2.559327,6.372636,-0.198791,6.274462
0.020000,4.232819,16.258404,0.584219,2.686697,6.368477,-0.207959,6.273515
0.020000,4.289095,16.257832,0.640498,2.813978,6.364072,-0.220265,6.272510
0.020000,4.347915,16.257173,0.699322,2.941168,6.359485,-0.229354,6.271447
0.020000,4.409275,16.256418,0.760687,3.068261,6.354633,-0.242592,6.270323
0.020000,4.473175,16.255558,0.824592,3.195253,6.349625,-0.250399,6.269137
0.020000,4.539610,16.254583,0.891035,3.322139,6.344301,-0.266200,6.267886
0.020000,4.608580,16.253483,0.960013,3.448917,6.338918,-0.269130,6.266568
0.020000,4.680081,16.252245,1.031525,3.575580,6.333135,-0.289141,6.265182
