dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.484466,10.752068,0.000656,0.065557,3.277840,163.891997,6.283144
0.020000,1.484442,10.752068,0.000680,0.001231,-3.216283,-324.706169,6.283167
0.020000,1.487458,10.752068,0.003697,0.150826,7.479752,534.801786,0.000026
0.020000,1.495253,10.752069,0.011492,0.389750,11.946187,223.321738,0.000093
0.020000,1.505649,10.752070,0.021887,0.519786,6.501793,-272.219713,0.000179
0.020000,1.518647,10.752073,0.034886,0.649924,6.506917,0.256235,0.000283
0.020000,1.534251,10.752079,0.050490,0.780191,6.513322,0.320212,0.000403
0.020000,1.552463,10.752087,0.068702,0.910610,6.520988,0.383301,0.000535
0.020000,1.573288,10.752100,0.089526,1.041209,6.529945,0.447881,0.000678
0.020000,1.596728,10.752117,0.112966,1.172013,6.540174,0.511414,0.000825
0.020000,1.622789,10.752141,0.139027,1.303046,6.551676,0.575128,0.000975
0.020000,1.651475,10.752171,0.167714,1.434335,6.564463,0.639344,0.001121
0.020000,1.682793,10.752208,0.199032,1.565906,6.578514,0.702567,0.001259
0.020000,1.716749,10.752253,0.232988,1.697783,6.593854,0.766979,0.001382
0.020000,1.753349,10.752306,0.269588,1.829992,6.610458,0.830207,0.001485
0.020000,1.792600,10.752366,0.308839,1.962559,6.628348,0.894506,0.001562
0.020000,1.834510,10.752432,0.350749,2.095509,6.647510,0.958075,0.001605
0.020000,1.879087,10.752504,0.395326,2.228868,6.667954,1.022217,0.001606
0.020000,1.926341,10.752579,0.442580,2.362662,6.689679,1.086226,0.001557
0.020000,1.976279,10.752654,0.492518,2.496916,6.712689,1.150518,0.001451
0.020000,2.028912,10.752726,0.545151,2.631655,6.736984,1.214745,0.001278
0.020000,2.084250,10.752790,0.600489,2.766907,6.762583,1.279934,0.001028
0.020000,2.142304,10.752841,0.658543,2.902696,6.789472,1.344475,0.000692
0.020000,2.203085,10.752870,0.719324,3.039050,6.817665,1.409668,0.000260
0.020000,2.266605,10.752870,0.782844,3.175993,6.847181,1.475755,6.282905
0.020000,2.332876,10.752830,0.849115,3.313554,6.878016,1.541772,6.282245
0.020000,2.401911,10.752738,0.918150,3.451757,6.910184,1.608404,6.281455
