dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.484421,9.668735,0.000656,0.065557,3.277840,163.891997,6.283144
0.020000,1.484421,9.668735,0.003278,0.196670,6.555680,163.891997,6.283167
0.020000,1.487487,9.668735,0.008522,0.327784,6.555680,-0.000000,0.000026
0.020000,1.495353,9.668735,0.016389,0.458898,6.555680,0.000000,0.000093
0.020000,1.505842,9.668737,0.026878,0.590011,6.555680,0.000000,0.000179
0.020000,1.518954,9.668740,0.039990,0.721125,6.555680,-0.000000,0.000283
0.020000,1.534687,9.668745,0.055723,0.852238,6.555680,0.000000,0.000403
0.020000,1.553043,9.668754,0.074079,0.983352,6.555680,-0.000000,0.000535
0.020000,1.574021,9.668767,0.095057,1.114466,6.555680,0.000000,0.000678
0.020000,1.597622,9.668784,0.118658,1.245579,6.555680,-0.000000,0.000825
0.020000,1.623845,9.668808,0.144881,1.376693,6.555680,0.000000,0.000975
0.020000,1.652690,9.668838,0.173726,1.507806,6.555680,0.000000,0.001121
0.020000,1.684157,9.668876,0.205193,1.638920,6.555680,0.000000,0.001259
0.020000,1.718246,9.668921,0.239282,1.770034,6.555680,-0.000000,0.001382
0.020000,1.754958,9.668974,0.275994,1.901147,6.555680,0.000000,0.001485
0.020000,1.794292,9.669034,0.315328,2.032261,6.555680,0.000000,0.001562
0.020000,1.836248,9.669100,0.357285,2.163374,6.555680,-0.000000,0.001605
0.020000,1.880827,9.669172,0.401863,2.294488,6.555680,0.000000,0.001606
0.020000,1.928028,9.669247,0.449064,2.425602,6.555680,0.000000,0.001557
0.020000,1.977851,9.669322,0.498887,2.556715,6.555680,0.000000,0.001451
0.020000,2.030296,9.669394,0.551333,2.687829,6.555680,0.000000,0.001278
0.020000,2.085364,9.669458,0.606400,2.818942,6.555680,0.000000,0.001028
0.020000,2.143054,9.669508,0.664090,2.950056,6.555680,-0.000000,0.000692
0.020000,2.203366,9.669537,0.724403,3.081170,6.555680,0.000000,0.000260
0.020000,2.266301,9.669537,0.787337,3.212283,6.555680,0.000000,6.282905
0.020000,2.331858,9.669497,0.852894,3.343397,6.555680,-0.000000,6.282245
0.020000,2.400037,9.669407,0.921073,3.474510,6.555680,0.000000,6.281455
0.020000,2.470838,9.669252,0.991874,3.605624,6.555680,0.000000,6.280522
0.020000,2.544261,9.669017,1.065298,3.736738,6.555680,0.000000,6.279432
0.020000,2.620306,9.668685,1.141344,3.867851,6.555680,-0.000000,6.278173
