dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.239950,4.101008,0.001250,0.050000,1.000000,20.000000,6.283176
0.050000,0.242597,4.101008,0.003897,0.052939,0.058776,-18.824481,0.000010
0.050000,0.253857,4.101009,0.015157,0.225210,3.445414,67.732770,0.000043
0.050000,0.273864,4.101010,0.035164,0.400141,3.498627,1.064256,0.000065
0.050000,0.305095,4.101011,0.066396,0.624627,4.489716,19.821782,0.000006
0.050000,0.348758,4.101006,0.110059,0.873261,4.972693,9.659540,6.282918
0.050000,0.404792,4.100974,0.166093,1.120678,4.948338,-0.487100,6.282237
0.050000,0.473119,4.100867,0.234419,1.366524,4.916921,-0.628350,6.280902
0.050000,0.552403,4.100602,0.313704,1.585699,4.383496,-10.668494,6.278650
0.050000,0.640077,4.100063,0.401380,1.753517,3.356358,-20.542768,6.275267
0.050000,0.733592,4.099113,0.494900,1.870399,2.337630,-20.374550,6.270606
0.050000,0.830426,4.097614,0.591745,1.936909,1.330204,-20.148532,6.264608
0.050000,0.928088,4.095454,0.689431,1.953713,0.336080,-19.882477,6.257319
0.050000,1.025335,4.092533,0.786722,1.945824,-0.157772,-9.877035,6.248788
0.050000,1.122151,4.088737,0.883612,1.937794,-0.160611,-0.056788,6.238993
0.050000,1.218512,4.083952,0.980092,1.929609,-0.163684,-0.061445,6.227910
0.050000,1.314395,4.078061,1.076155,1.921264,-0.166908,-0.064497,6.215512
0.050000,1.409768,4.070950,1.171793,1.912755,-0.170186,-0.065550,6.201775
0.050000,1.504596,4.062503,1.266997,1.904085,-0.173393,-0.064145,6.186673
0.050000,1.598842,4.052606,1.361761,1.895267,-0.176369,-0.059522,6.170183
0.050000,1.692458,4.041144,1.456077,1.886319,-0.178945,-0.051521,6.152285
0.050000,1.785398,4.028005,1.549940,1.877271,-0.180970,-0.040502,6.132962
0.050000,1.877606,4.013080,1.643348,1.868166,-0.182099,-0.022579,6.112206
0.050000,1.969024,3.996261,1.736301,1.859054,-0.182228,-0.002580,6.090016
0.050000,2.059591,3.977445,1.828802,1.850007,-0.180944,0.025692,6.066402
0.050000,2.149239,3.956533,1.920857,1.841103,-0.178090,0.057077,6.041386
0.050000,2.237901,3.933433,2.012478,1.832437,-0.173318,0.095450,6.015006
0.050000,2.325507,3.908061,2.103684,1.824115,-0.166426,0.137838,5.987317
0.050000,2.411985,3.880339,2.194497,1.816256,-0.157195,0.184614,5.958391
0.050000,2.497264,3.850198,2.284946,1.808979,-0.145532,0.233263,5.928320
0.050000,2.581275,3.817582,2.375067,1.802410,-0.131375,0.283134,5.897215
0.050000,2.663951,3.782442,2.464900,1.796668,-0.114850,0.330498,5.865207
0.050000,2.745227,3.744744,2.554493,1.791862,-0.096110,0.374797,5.832442
0.050000,2.825043,3.704463,2.643897,1.788083,-0.075590,0.410398,5.799082
0.050000,2.903343,3.661589,2.733167,1.785398,-0.053691,0.437981,5.765300
0.050000,2.980078,3.616124,2.822360,1.783853,-0.030910,0.455632,5.731275
0.050000,3.055202,3.568082,2.911532,1.783449,-0.008080,0.456601,5.697186
0.050000,3.128678,3.517490,3.000741,1.784174,0.014498,0.451562,5.663211
0.050000,3.200471,3.464387,3.090040,1.785975,0.036018,0.430384,5.629519
0.050000,3.270556,3.408823,3.179478,1.788760,0.055702,0.393681,5.596267
0.050000,3.338911,3.350860,3.269100,1.792454,0.073889,0.363742,5.563595
0.050000,3.403537,3.292411,3.356237,1.742732,-0.994436,-21.366495,5.530087
0.050000,3.462260,3.234157,3.438952,1.654311,-1.768429,-15.479869,5.475680
0.050000,3.520306,3.170631,3.525004,1.721038,1.334539,62.059360,5.431771
0.050000,3.577877,3.102487,3.614212,1.784156,1.262355,-1.443676,5.397793
0.050000,3.635274,3.030374,3.706379,1.843339,1.183674,-1.573609,5.373129
0.050000,3.692895,2.954898,3.801335,1.899123,1.115678,-1.359925,5.357246
0.050000,3.751228,2.876618,3.898960,1.952500,1.067529,-0.962984,5.349766
0.050000,3.810852,2.796045,3.999195,2.004686,1.043729,-0.475999,5.350504
0.050000,3.872432,2.713669,4.102043,2.056978,1.045846,0.042338,5.359478
0.050000,3.936729,2.629984,4.207577,2.110667,1.073765,0.558379,5.376910
0.050000,4.004601,2.545530,4.315923,2.166933,1.125334,1.031388,5.403209
0.050000,4.077000,2.460949,4.427259,2.226708,1.195492,1.403165,5.438930
0.050000,4.154949,2.377053,4.541779,2.290395,1.273739,1.564924,5.484693
0.050000,4.239483,2.294906,4.659652,2.357459,1.341283,1.350886,5.541035
0.050000,4.331520,2.215906,4.780944,2.425852,1.367860,0.531548,5.608170
0.050000,4.431670,2.141817,4.905519,2.491507,1.313099,-1.095227,5.685671
0.050000,4.539973,2.074699,5.032935,2.548303,1.135919,-3.543598,5.772143
0.050000,4.655690,2.016660,5.162390,2.589105,0.816039,-6.397594,5.865063
0.050000,4.777254,1.969477,5.292791,2.608013,0.378164,-8.757514,5.960970
0.050000,4.902524,1.934200,5.422933,2.602848,-0.103308,-9.629437,6.056063
0.050000,5.029225,1.910972,5.551746,2.576253,-0.531889,-8.571617,6.146951
0.050000,5.155389,1.899127,5.678464,2.534367,-0.837724,-6.116695,6.231221
0.050000,5.279597,1.897484,5.802683,2.484380,-0.999733,-3.240193,0.024412
0.050000,5.401006,1.904662,5.924304,2.432424,-1.039135,-0.788030,0.092585
0.050000,5.509712,1.917282,6.033740,2.188708,-4.874306,-76.703419,0.135294
0.050000,5.622174,1.935052,6.147597,2.277158,1.768986,132.865834,0.178970
0.050000,5.735578,1.958440,6.263387,2.315796,0.772764,-19.924429,0.228739
0.050000,5.849743,1.988398,6.381418,2.360612,0.896329,2.471285,0.285579
0.050000,5.964303,2.026037,6.502002,2.411687,1.021501,2.503444,0.350480
0.050000,6.078595,2.072585,6.625410,2.468158,1.129410,2.158186,0.424293
0.050000,6.191531,2.129281,6.751779,2.527369,1.184227,1.096335,0.507459
0.050000,6.301492,2.197153,6.880999,2.584409,1.140795,-0.868639,0.599637
0.050000,6.406324,2.276694,7.012591,2.631843,0.948691,-3.842071,0.699312
0.050000,6.503562,2.367515,7.145646,2.661103,0.585188,-7.270069,0.803613
0.050000,6.590896,2.468181,7.278916,2.665403,0.085996,-9.983837,0.908594
0.050000,6.666720,2.576404,7.411059,2.642843,-0.451187,-10.743654,1.010009
0.050000,6.730473,2.689551,7.540930,2.597427,-0.908329,-9.142841,1.104243
0.050000,6.782607,2.805195,7.667782,2.537044,-1.207658,-5.986588,1.188937
0.050000,6.824269,2.921463,7.791290,2.470151,-1.337858,-2.604004,1.263066
0.050000,6.856926,3.037107,7.911456,2.403326,-1.336495,0.027271,1.326645
0.050000,6.882081,3.151398,8.028483,2.340537,-1.255786,1.614168,1.380318
0.050000,6.901118,3.263978,8.142661,2.283569,-1.139367,2.328388,1.425004
0.050000,6.915246,3.374718,8.254298,2.232732,-1.016725,2.452847,1.461675
0.050000,6.925495,3.483615,8.363676,2.187568,-0.903297,2.268551,1.491225
0.050000,6.932737,3.590732,8.471038,2.147236,-0.806621,1.933523,1.514419
0.050000,6.937718,3.696154,8.576578,2.110797,-0.728797,1.556478,1.531872
0.050000,6.941061,3.799045,8.679523,2.058898,-1.037980,-6.183655,1.543962
0.050000,6.943316,3.897336,8.777839,1.966332,-1.851314,-16.266680,1.551035
0.050000,6.944971,3.988694,8.869212,1.827460,-2.777434,-18.522396,1.553676
0.050000,6.946396,4.070880,8.951411,1.643981,-3.669585,-17.843024,1.552732
0.050000,6.947783,4.141736,9.022281,1.417392,-4.531783,-17.243966,1.549289
0.050000,6.949167,4.200030,9.080591,1.166208,-5.023676,-9.837864,1.544536
0.050000,6.950478,4.245741,9.126321,0.914597,-5.032229,-0.171064,1.539529
0.050000,6.951594,4.279143,9.159742,0.668411,-4.923714,2.170311,1.535123
0.050000,6.952421,4.301297,9.181911,0.443390,-4.500421,8.465860,1.531838
0.050000,6.952944,4.314375,9.195000,0.261770,-3.632402,17.360389,1.529758
0.050000,6.953212,4.320817,9.201447,0.128943,-2.656529,19.517449,1.528695
0.050000,6.953305,4.323019,9.203651,0.044073,-1.697414,19.182309,1.528326
0.050000,6.953319,4.323357,9.203989,0.006776,-0.745931,19.029654,1.528269
0.050000,6.953319,4.323357,9.203989,0.000000,-0.135522,12.208185,1.528269
