dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.977389,10.948882,0.000649,0.064939,3.246926,162.346302,6.282325
0.020000,1.977088,10.948882,0.000951,0.015063,-2.493755,-287.034072,6.282603
0.020000,1.976487,10.948883,0.001552,0.030072,0.750453,162.210440,6.283158
0.020000,1.983124,10.948885,0.008189,0.331844,15.088566,716.905649,0.000803
0.020000,1.992320,10.948898,0.017385,0.459809,6.398278,-434.514434,0.001905
0.020000,2.003823,10.948928,0.028889,0.575175,5.768261,-31.500837,0.003275
0.020000,2.017640,10.948984,0.042705,0.690829,5.782724,0.723159,0.004908
0.020000,2.033776,10.949079,0.058841,0.806812,5.799136,0.820612,0.006797
0.020000,2.052239,10.949224,0.077305,0.923187,5.818768,0.981561,0.008935
0.020000,2.073038,10.949434,0.098105,1.039999,5.840571,1.090156,0.011315
0.020000,2.096182,10.949727,0.121251,1.157315,5.865801,1.261530,0.013926
0.020000,2.121683,10.950118,0.146755,1.275181,5.893316,1.375749,0.016759
0.020000,2.149551,10.950628,0.174628,1.393647,5.923294,1.498886,0.019803
0.020000,2.179800,10.951276,0.204884,1.512774,5.956348,1.652683,0.023046
0.020000,2.212442,10.952085,0.237536,1.632602,5.991424,1.753837,0.026473
0.020000,2.247491,10.953076,0.272599,1.753195,6.029650,1.911261,0.030073
0.020000,2.284964,10.954274,0.310091,1.874585,6.069513,1.993165,0.033829
0.020000,2.324875,10.955703,0.350028,1.996838,6.112615,2.155122,0.037725
0.020000,2.367242,10.957388,0.392428,2.119993,6.157762,2.257339,0.041746
0.020000,2.412080,10.959354,0.437309,2.244078,6.204249,2.324357,0.045874
0.020000,2.459409,10.961627,0.484693,2.369169,6.254528,2.513955,0.050090
0.020000,2.509247,10.964233,0.534598,2.495288,6.305948,2.570964,0.054375
0.020000,2.561612,10.967198,0.587048,2.622474,6.359315,2.668384,0.058710
0.020000,2.616526,10.970547,0.642063,2.750777,6.415179,2.793160,0.063075
0.020000,2.674007,10.974304,0.699668,2.880221,6.472180,2.850088,0.067447
