dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.976457,9.865549,0.000649,0.064939,3.246926,162.346302,6.282325
0.020000,1.976457,9.865549,0.003247,0.194816,6.493852,162.346302,6.282603
0.020000,1.976457,9.865549,0.008442,0.324693,6.493852,0.000000,6.283158
0.020000,1.983993,9.865552,0.016235,0.454570,6.493852,0.000000,0.000803
0.020000,1.994384,9.865566,0.026625,0.584447,6.493852,-0.000000,0.001905
0.020000,2.007371,9.865600,0.039612,0.714324,6.493852,0.000000,0.003275
0.020000,2.022956,9.865664,0.055198,0.844201,6.493852,0.000000,0.004908
0.020000,2.041139,9.865770,0.073381,0.974078,6.493852,0.000000,0.006797
0.020000,2.061918,9.865934,0.094161,1.103955,6.493852,-0.000000,0.008935
0.020000,2.085295,9.866170,0.117539,1.233832,6.493852,0.000000,0.011315
0.020000,2.111268,9.866498,0.143514,1.363709,6.493852,0.000000,0.013926
0.020000,2.139838,9.866937,0.172087,1.493586,6.493852,-0.000000,0.016759
0.020000,2.171003,9.867507,0.203258,1.623463,6.493852,0.000000,0.019803
0.020000,2.204763,9.868230,0.237026,1.753340,6.493852,-0.000000,0.023046
0.020000,2.241118,9.869131,0.273391,1.883217,6.493852,0.000000,0.026473
0.020000,2.280065,9.870233,0.312354,2.013094,6.493852,0.000000,0.030073
0.020000,2.321605,9.871560,0.353915,2.142971,6.493852,-0.000000,0.033829
0.020000,2.365735,9.873140,0.398073,2.272848,6.493852,0.000000,0.037725
0.020000,2.412454,9.874998,0.444829,2.402725,6.493852,0.000000,0.041746
0.020000,2.461759,9.877160,0.494182,2.532602,6.493852,-0.000000,0.045874
0.020000,2.513650,9.879652,0.546133,2.662479,6.493852,0.000000,0.050090
0.020000,2.568124,9.882501,0.600681,2.792356,6.493852,0.000000,0.054375
0.020000,2.625179,9.885731,0.657827,2.922233,6.493852,0.000000,0.058710
0.020000,2.684811,9.889368,0.717571,3.052110,6.493852,0.000000,0.063075
0.020000,2.747019,9.893434,0.779912,3.181988,6.493852,-0.000000,0.067447
0.020000,2.811800,9.897953,0.844850,3.311865,6.493852,0.000000,0.071805
0.020000,2.879152,9.902945,0.912386,3.441742,6.493852,-0.000000,0.076127
