dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.074533,6.776929,0.001250,0.050000,1.000000,20.000000,6.232670
0.050000,0.074757,6.776918,0.001474,0.004488,-0.910247,-38.204934,6.231963
0.050000,0.081707,6.776554,0.008433,0.139181,2.693872,72.082371,6.230369
0.050000,0.102581,6.775420,0.029339,0.418104,5.578450,57.691558,6.227518
0.050000,0.135205,6.773529,0.062018,0.653578,4.709482,-17.379357,6.223015
0.050000,0.180896,6.770630,0.107800,0.915654,5.241514,10.640634,6.216613
0.050000,0.239668,6.766464,0.166719,1.178377,5.254463,0.258988,6.208208
0.050000,0.311532,6.760687,0.238815,1.441915,5.270761,0.325966,6.197665
0.050000,0.395198,6.752983,0.322835,1.680404,4.769788,-10.019465,6.185005
0.050000,0.488047,6.743159,0.416202,1.867342,3.738747,-20.620818,6.170454
0.050000,0.587460,6.731094,0.516344,2.002848,2.710132,-20.572299,6.154259
0.050000,0.690789,6.716781,0.620661,2.086329,1.669608,-20.810483,6.136720
0.050000,0.795390,6.700365,0.726542,2.117623,0.625884,-20.874484,6.118194
0.050000,0.899912,6.681929,0.832677,2.122699,0.101535,-10.486988,6.098867
0.050000,1.004306,6.661383,0.939074,2.127948,0.104965,0.068619,6.078708
0.050000,1.108525,6.638633,1.045747,2.133445,0.109938,0.099447,6.057688
0.050000,1.212504,6.613586,1.152700,2.139076,0.112630,0.053834,6.035780
0.050000,1.316176,6.586146,1.259942,2.144836,0.115195,0.051317,6.012962
0.050000,1.419465,6.556219,1.367479,2.150735,0.117986,0.055805,5.989216
0.050000,1.522284,6.523709,1.475315,2.156730,0.119903,0.038351,5.964527
0.050000,1.624536,6.488524,1.583452,2.162724,0.119871,-0.000636,5.938892
0.050000,1.726115,6.450578,1.691887,2.168712,0.119764,-0.002153,5.912312
0.050000,1.826906,6.409787,1.800619,2.174631,0.118386,-0.027562,5.884800
0.050000,1.926779,6.366079,1.909638,2.180379,0.114957,-0.068568,5.856381
0.050000,2.025600,6.319389,2.018933,2.185912,0.110651,-0.086123,5.827091
0.050000,2.123222,6.269666,2.128488,2.191101,0.103788,-0.137272,5.796980
0.050000,2.219493,6.216875,2.238285,2.195926,0.096493,-0.145884,5.766113
0.050000,2.314255,6.160996,2.348295,2.200207,0.085632,-0.217231,5.734569
0.050000,2.407347,6.102028,2.458491,2.203928,0.074403,-0.224567,5.702441
0.050000,2.498606,6.039994,2.568839,2.206941,0.060264,-0.282795,5.669836
0.050000,2.587873,5.974934,2.679299,2.209200,0.045182,-0.301634,5.636875
0.050000,2.674996,5.906912,2.789831,2.210650,0.028996,-0.323726,5.603685
0.050000,2.759833,5.836013,2.900393,2.211242,0.011855,-0.342816,5.570403
0.050000,2.842253,5.762342,3.010940,2.210932,-0.006209,-0.361280,5.537169
0.050000,2.922143,5.686021,3.121426,2.209730,-0.024029,-0.356394,5.504124
0.050000,2.999407,5.607188,3.231809,2.207652,-0.041563,-0.350674,5.471407
0.050000,3.073970,5.525993,3.342046,2.204735,-0.058353,-0.335818,5.439150
0.050000,3.145778,5.442597,3.452097,2.201034,-0.074014,-0.313201,5.407476
0.050000,3.214800,5.357164,3.561928,2.196623,-0.088211,-0.283945,5.376498
0.050000,3.281025,5.269860,3.671507,2.191581,-0.100859,-0.252957,5.346314
0.050000,3.344461,5.180853,3.780807,2.185999,-0.111637,-0.215565,5.317010
0.050000,3.405137,5.090304,3.889806,2.179972,-0.120541,-0.178080,5.288657
0.050000,3.463097,4.998370,3.998486,2.173591,-0.127604,-0.141257,5.261309
0.050000,3.518401,4.905200,4.106833,2.166946,-0.132905,-0.106031,5.235008
0.050000,3.571120,4.810935,4.214839,2.160116,-0.136607,-0.074044,5.209784
0.050000,3.621335,4.715704,4.322498,2.153182,-0.138673,-0.041307,5.185652
0.050000,3.669135,4.619627,4.429808,2.146209,-0.139473,-0.016001,5.162620
0.050000,3.714615,4.522815,4.536771,2.139252,-0.139125,0.006963,5.140684
0.050000,3.757874,4.425368,4.643389,2.132355,-0.137948,0.023539,5.119834
0.050000,3.799013,4.327375,4.749667,2.125565,-0.135793,0.043096,5.100054
0.050000,3.838135,4.228917,4.855613,2.118914,-0.133031,0.055243,5.081323
0.050000,3.875342,4.130066,4.961234,2.112424,-0.129792,0.064768,5.063614
0.050000,3.910737,4.030888,5.066538,2.106091,-0.126657,0.062708,5.046902
0.050000,3.944420,3.931439,5.171537,2.099968,-0.122473,0.083688,5.031157
0.050000,3.976488,3.831770,5.276238,2.094019,-0.118968,0.070089,5.016347
0.050000,4.007039,3.731925,5.380652,2.088285,-0.114693,0.085503,5.002442
0.050000,4.036164,3.631945,5.484788,2.082727,-0.111158,0.070712,4.989411
0.050000,4.063956,3.531863,5.588657,2.077372,-0.107088,0.081386,4.977224
0.050000,4.090500,3.431711,5.692267,2.072205,-0.103335,0.075059,4.965852
0.050000,4.115883,3.331515,5.795628,2.067217,-0.099774,0.071234,4.955265
0.050000,4.140184,3.231300,5.898748,2.062399,-0.096359,0.068295,4.945438
0.050000,4.163484,3.131086,6.001635,2.057743,-0.093112,0.064945,4.936343
0.050000,4.185859,3.030891,6.104297,2.053241,-0.090048,0.061276,4.927958
0.050000,4.207381,2.930734,6.206741,2.048882,-0.087179,0.057368,4.920259
0.050000,4.228122,2.830627,6.308974,2.044656,-0.084515,0.053287,4.913226
0.050000,4.248151,2.730584,6.411002,2.040553,-0.082061,0.049090,4.906839
