dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.239953,4.418508,0.001250,0.050000,1.000000,20.000000,6.283176
0.050000,0.242593,4.418508,0.006250,0.150000,2.000000,20.000000,0.000010
0.050000,0.253843,4.418509,0.017500,0.300000,3.000000,20.000000,0.000043
0.050000,0.273843,4.418510,0.037500,0.500000,4.000000,20.000000,0.000065
0.050000,0.305093,4.418511,0.068750,0.750000,5.000000,20.000000,0.000006
0.050000,0.348843,4.418506,0.112500,1.000000,5.000000,0.000000,6.282918
0.050000,0.405093,4.418474,0.168750,1.250000,5.000000,0.000000,6.282237
0.050000,0.473843,4.418366,0.237500,1.500000,5.000000,0.000000,6.280902
0.050000,0.553843,4.418098,0.317500,1.700000,4.000000,-20.000000,6.278650
0.050000,0.642591,4.417553,0.406250,1.850000,3.000000,-20.000000,6.275267
0.050000,0.737586,4.416588,0.501250,1.950000,2.000000,-20.000000,6.270606
0.050000,0.836324,4.415059,0.600000,2.000000,1.000000,-20.000000,6.264608
0.050000,0.936300,4.412847,0.700000,2.000000,0.000000,-20.000000,6.257319
0.050000,1.036254,4.409845,0.800000,2.000000,0.000000,0.000000,6.248788
0.050000,1.136177,4.405927,0.900000,2.000000,0.000000,0.000000,6.238993
0.050000,1.236053,4.400967,1.000000,2.000000,0.000000,0.000000,6.227910
0.050000,1.335865,4.394834,1.100000,2.000000,0.000000,0.000000,6.215512
0.050000,1.435587,4.387398,1.200000,2.000000,0.000000,0.000000,6.201775
0.050000,1.535192,4.378525,1.300000,2.000000,0.000000,0.000000,6.186673
0.050000,1.634643,4.368081,1.400000,2.000000,0.000000,0.000000,6.170183
0.050000,1.733901,4.355928,1.500000,2.000000,0.000000,0.000000,6.152285
0.050000,1.832915,4.341930,1.600000,2.000000,0.000000,0.000000,6.132962
0.050000,1.931628,4.325951,1.700000,2.000000,0.000000,0.000000,6.112206
0.050000,2.029975,4.307856,1.800000,2.000000,0.000000,0.000000,6.090016
0.050000,2.127882,4.287513,1.900000,2.000000,0.000000,0.000000,6.066402
0.050000,2.225265,4.264796,2.000000,2.000000,0.000000,0.000000,6.041386
0.050000,2.322031,4.239584,2.100000,2.000000,0.000000,0.000000,6.015006
0.050000,2.418081,4.211766,2.200000,2.000000,0.000000,0.000000,5.987317
0.050000,2.513303,4.181239,2.300000,2.000000,0.000000,0.000000,5.958391
0.050000,2.607584,4.147916,2.400000,2.000000,0.000000,0.000000,5.928320
0.050000,2.700801,4.111724,2.500000,2.000000,0.000000,0.000000,5.897215
0.050000,2.792829,4.072609,2.600000,2.000000,0.000000,0.000000,5.865207
0.050000,2.883541,4.030533,2.700000,2.000000,0.000000,0.000000,5.832442
0.050000,2.972812,3.985480,2.800000,2.000000,0.000000,0.000000,5.799082
0.050000,3.060519,3.937455,2.900000,2.000000,0.000000,0.000000,5.765300
0.050000,3.146548,3.886483,3.000000,2.000000,0.000000,0.000000,5.731275
0.050000,3.230790,3.832610,3.100000,2.000000,0.000000,0.000000,5.697186
0.050000,3.313150,3.775901,3.200000,2.000000,0.000000,0.000000,5.663211
0.050000,3.393543,3.716437,3.300000,2.000000,0.000000,0.000000,5.629519
0.050000,3.471901,3.654315,3.400000,2.000000,0.000000,0.000000,5.596267
0.050000,3.548168,3.589644,3.500000,2.000000,0.000000,0.000000,5.563595
0.050000,3.620676,3.524050,3.600000,2.000000,0.000000,0.000000,5.530087
0.050000,3.691675,3.453646,3.700000,2.000000,0.000000,0.000000,5.475680
0.050000,3.759134,3.379838,3.800000,2.000000,0.000000,0.000000,5.431771
0.050000,3.823674,3.303460,3.900000,2.000000,0.000000,0.000000,5.397793
0.050000,3.885953,3.225224,4.000000,2.000000,0.000000,0.000000,5.373129
0.050000,3.946637,3.145743,4.100000,2.000000,0.000000,0.000000,5.357246
0.050000,4.006390,3.065559,4.200000,2.000000,0.000000,0.000000,5.349766
0.050000,4.065874,2.985174,4.300000,2.000000,0.000000,0.000000,5.350504
0.050000,4.125746,2.905079,4.400000,2.000000,0.000000,0.000000,5.359478
0.050000,4.186668,2.825781,4.500000,2.000000,0.000000,0.000000,5.376910
0.050000,4.249305,2.747832,4.600000,2.000000,0.000000,0.000000,5.403209
0.050000,4.314324,2.671861,4.700000,2.000000,0.000000,0.000000,5.438930
0.050000,4.382376,2.598600,4.800000,2.000000,0.000000,0.000000,5.484693
0.050000,4.454073,2.528908,4.900000,2.000000,0.000000,0.000000,5.541035
0.050000,4.529929,2.463777,5.000000,2.000000,0.000000,0.000000,5.608170
0.050000,4.610292,2.404306,5.100000,2.000000,0.000000,0.000000,5.685671
0.050000,4.695258,2.351634,5.200000,2.000000,0.000000,0.000000,5.772143
0.050000,4.784609,2.306809,5.300000,2.000000,0.000000,0.000000,5.865063
0.050000,4.877797,2.270637,5.400000,2.000000,0.000000,0.000000,5.960970
0.050000,4.974017,2.243546,5.500000,2.000000,0.000000,0.000000,6.056063
0.050000,5.072346,2.225530,5.600000,2.000000,0.000000,0.000000,6.146951
0.050000,5.171880,2.216198,5.700000,2.000000,0.000000,0.000000,6.231221
0.050000,5.271847,2.214890,5.800000,2.000000,0.000000,0.000000,0.024412
0.050000,5.371652,2.220802,5.900000,2.000000,0.000000,0.000000,0.092585
0.050000,5.466887,2.231880,6.000000,2.000000,0.000000,0.000000,0.135294
0.050000,5.565654,2.247481,6.100000,2.000000,0.000000,0.000000,0.178970
0.050000,5.663584,2.267670,6.200000,2.000000,0.000000,0.000000,0.228739
0.050000,5.760299,2.293039,6.300000,2.000000,0.000000,0.000000,0.285579
0.050000,5.855289,2.324235,6.400000,2.000000,0.000000,0.000000,0.350480
0.050000,5.947888,2.361933,6.500000,2.000000,0.000000,0.000000,0.424293
0.050000,6.037239,2.406770,6.600000,2.000000,0.000000,0.000000,0.507459
0.050000,6.122313,2.459262,6.700000,2.000000,0.000000,0.000000,0.599637
0.050000,6.201952,2.519672,6.800000,2.000000,0.000000,0.000000,0.699312
0.050000,6.275003,2.587895,6.900000,2.000000,0.000000,0.000000,0.803613
0.050000,6.340502,2.663397,7.000000,2.000000,0.000000,0.000000,0.908594
0.050000,6.397849,2.745268,7.100000,2.000000,0.000000,0.000000,1.010009
0.050000,6.446906,2.832365,7.200000,2.000000,0.000000,0.000000,1.104243
0.050000,6.487975,2.923510,7.300000,2.000000,0.000000,0.000000,1.188937
0.050000,6.521684,3.017633,7.400000,2.000000,0.000000,0.000000,1.263066
0.050000,6.548842,3.113857,7.500000,2.000000,0.000000,0.000000,1.326645
0.050000,6.570323,3.211510,7.600000,2.000000,0.000000,0.000000,1.380318
0.050000,6.586986,3.310104,7.700000,2.000000,0.000000,0.000000,1.425004
0.050000,6.599635,3.409295,7.800000,2.000000,0.000000,0.000000,1.461675
0.050000,6.608999,3.508852,7.900000,2.000000,0.000000,0.000000,1.491225
0.050000,6.615741,3.608622,8.000000,2.000000,0.000000,0.000000,1.514419
0.050000,6.620459,3.708510,8.100000,2.000000,0.000000,0.000000,1.531872
0.050000,6.623675,3.807564,8.199107,1.964278,-0.714436,-14.288730,1.543962
0.050000,6.625878,3.903609,8.295178,1.878556,-1.714436,-20.000000,1.551035
0.050000,6.627518,3.994129,8.385713,1.742835,-2.714436,-20.000000,1.553676
0.050000,6.628947,4.076615,8.468211,1.557113,-3.714436,-20.000000,1.552732
0.050000,6.630356,4.148564,8.540174,1.321391,-4.714436,-20.000000,1.549289
0.050000,6.631776,4.208367,8.599993,1.071391,-5.000000,-5.711270,1.544536
0.050000,6.633133,4.255667,8.647313,0.821391,-5.000000,0.000000,1.539529
0.050000,6.634296,4.290467,8.682132,0.571391,-5.000000,0.000000,1.535123
0.050000,6.635162,4.313663,8.705345,0.357113,-4.285564,14.288730,1.531838
0.050000,6.635711,4.327401,8.719094,0.192835,-3.285564,20.000000,1.529758
0.050000,6.635993,4.334180,8.725879,0.078556,-2.285564,20.000000,1.528695
0.050000,6.636091,4.336499,8.728199,0.014278,-1.285564,20.000000,1.528326
0.050000,6.636107,4.336855,8.728556,0.000000,-0.285564,20.000000,1.528269
0.050000,6.636107,4.336855,8.728556,0.000000,0.000000,5.711270,1.528269
