dt,x,y,position,velocity,acceleration,jerk,heading
0.050000,0.042470,6.142739,0.001250,0.050000,1.000000,20.000000,6.232670
0.050000,0.042246,6.142751,0.001474,0.004488,-0.910247,-38.204934,6.231963
0.050000,0.048184,6.142439,0.007421,0.118936,2.288969,63.984320,6.230369
0.050000,0.067251,6.141404,0.026516,0.381894,5.259157,59.403745,6.227518
0.050000,0.097021,6.139678,0.056336,0.596398,4.290079,-19.381557,6.223015
0.050000,0.138654,6.137037,0.098053,0.834345,4.758939,9.377213,6.216613
0.050000,0.192102,6.133248,0.151635,1.071637,4.745848,-0.261835,6.208208
0.050000,0.257292,6.128007,0.217035,1.308007,4.727388,-0.369182,6.197665
0.050000,0.332954,6.121041,0.293017,1.519635,4.232560,-9.896576,6.185005
0.050000,0.416614,6.112190,0.377144,1.682537,3.258053,-19.490123,6.170454
0.050000,0.505818,6.101364,0.467003,1.797180,2.292853,-19.304003,6.154259
0.050000,0.598116,6.088580,0.560182,1.863584,1.328076,-19.295550,6.136720
0.050000,0.691095,6.073989,0.654299,1.882344,0.375202,-19.057480,6.118194
0.050000,0.783531,6.057685,0.748162,1.877247,-0.101937,-9.542768,6.098867
0.050000,0.875366,6.039612,0.841758,1.871934,-0.106255,-0.086374,6.078708
0.050000,0.966544,6.019709,0.935083,1.866494,-0.108808,-0.051052,6.057688
0.050000,1.057000,5.997921,1.028126,1.860856,-0.112762,-0.079090,6.035780
0.050000,1.146665,5.974190,1.120879,1.855056,-0.115990,-0.064551,6.012962
0.050000,1.235471,5.948460,1.213337,1.849159,-0.117944,-0.039086,5.989216
0.050000,1.323343,5.920677,1.305496,1.843194,-0.119297,-0.027063,5.964527
0.050000,1.410203,5.890790,1.397354,1.837162,-0.120649,-0.027035,5.938892
0.050000,1.495972,5.858751,1.488912,1.831158,-0.120069,0.011601,5.912312
0.050000,1.580570,5.824515,1.580175,1.825246,-0.118250,0.036387,5.884800
0.050000,1.663912,5.788043,1.671148,1.819470,-0.115515,0.054686,5.856381
0.050000,1.745917,5.749299,1.761845,1.813941,-0.110586,0.098595,5.827091
0.050000,1.826503,5.708255,1.852281,1.808710,-0.104615,0.119411,5.796980
0.050000,1.905589,5.664888,1.942477,1.803926,-0.095675,0.178797,5.766113
0.050000,1.983098,5.619184,2.032457,1.799612,-0.086285,0.187811,5.734569
0.050000,2.058956,5.571134,2.122253,1.795919,-0.073868,0.248335,5.702441
0.050000,2.133094,5.520738,2.211898,1.792883,-0.060707,0.263216,5.669836
0.050000,2.205447,5.468006,2.301428,1.790606,-0.045540,0.303346,5.636875
0.050000,2.275960,5.412954,2.390886,1.789156,-0.028994,0.330916,5.603685
0.050000,2.344580,5.355607,2.480315,1.788578,-0.011567,0.348552,5.570403
0.050000,2.411267,5.295999,2.569759,1.788881,0.006053,0.352385,5.537169
0.050000,2.475985,5.234171,2.659263,1.790082,0.024033,0.359612,5.504124
0.050000,2.538707,5.170175,2.748871,1.792164,0.041624,0.351806,5.471407
0.050000,2.599415,5.104066,2.838625,1.795086,0.058445,0.336428,5.439150
0.050000,2.658100,5.035910,2.928565,1.798793,0.074145,0.313992,5.407476
0.050000,2.714759,4.965777,3.018726,1.803215,0.088441,0.285931,5.376498
0.050000,2.769399,4.893742,3.109139,1.808265,0.100992,0.251025,5.346314
