dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,10.000000,0.000655,0.065532,3.276617,163.830842,0.000000
0.020000,0.000000,10.000000,0.003277,0.196597,6.553234,163.830842,0.000000
0.020000,0.000000,10.000000,0.008519,0.327662,6.553234,0.000000,0.000000
0.020000,0.006383,10.000000,0.016383,0.458726,6.553234,0.000000,0.000000
0.020000,0.016868,10.000000,0.026868,0.589791,6.553234,-0.000000,0.000000
0.020000,0.029975,10.000000,0.039975,0.720856,6.553234,0.000000,0.000000
0.020000,0.045702,10.000000,0.055702,0.851920,6.553234,-0.000000,0.000000
0.020000,0.064052,10.000000,0.074052,0.982985,6.553234,0.000000,0.000000
0.020000,0.085022,10.000000,0.095022,1.114050,6.553234,-0.000000,0.000000
0.020000,0.108614,10.000000,0.118614,1.245114,6.553234,0.000000,0.000000
0.020000,0.134826,10.000000,0.144826,1.376179,6.553234,-0.000000,0.000000
0.020000,0.163661,10.000000,0.173661,1.507244,6.553234,0.000000,0.000000
0.020000,0.195116,10.000000,0.205116,1.638308,6.553234,0.000000,0.000000
0.020000,0.229193,10.000000,0.239193,1.769373,6.553234,0.000000,0.000000
0.020000,0.265891,10.000000,0.275891,1.900438,6.553234,0.000000,0.000000
0.020000,0.305211,10.000000,0.315211,2.031502,6.553234,0.000000,0.000000
0.020000,0.347151,10.000000,0.357151,2.162567,6.553234,0.000000,0.000000
0.020000,0.391713,10.000000,0.401713,2.293632,6.553234,-0.000000,0.000000
0.020000,0.438897,10.000000,0.448897,2.424696,6.553234,0.000000,0.000000
0.020000,0.488701,10.000000,0.498701,2.555761,6.553234,0.000000,0.000000
0.020000,0.541127,10.000000,0.551127,2.686826,6.553234,-0.000000,0.000000
0.020000,0.596174,10.000000,0.606174,2.817890,6.553234,0.000000,0.000000
0.020000,0.653843,10.000000,0.663843,2.948955,6.553234,0.000000,0.000000
0.020000,0.714132,10.000000,0.724132,3.080020,6.553234,-0.000000,0.000000
0.020000,0.777043,10.000000,0.787043,3.211085,6.553234,0.000000,0.000000
0.020000,0.842576,10.000000,0.852576,3.342149,6.553234,0.000000,0.000000
0.020000,0.910729,10.000000,0.920729,3.473214,6.553234,-0.000000,0.000000
0.020000,0.981504,10.000000,0.991504,3.604279,6.553234,0.000000,0.000000
