dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,10.000000,11.083333,0.000655,0.065532,3.276617,163.830842,3.141593
0.020000,10.000000,11.083333,0.000655,0.000000,-3.276617,-327.661684,3.141593
0.020000,10.000000,11.083333,0.000655,0.000000,0.000000,163.830842,3.141593
0.020000,9.993617,11.083333,0.007038,0.319154,15.957710,797.885523,3.141593
0.020000,9.983132,11.083333,0.017524,0.524259,10.255224,-285.124311,3.141593
0.020000,9.970025,11.083333,0.030630,0.655323,6.553234,-185.099528,3.141593
0.020000,9.954298,11.083333,0.046358,0.786388,6.553234,0.000000,3.141593
0.020000,9.935948,11.083333,0.064707,0.917453,6.553234,0.000000,3.141593
0.020000,9.914978,11.083333,0.085677,1.048517,6.553234,-0.000000,3.141593
0.020000,9.891386,11.083333,0.109269,1.179582,6.553234,0.000000,3.141593
0.020000,9.865174,11.083333,0.135482,1.310647,6.553234,0.000000,3.141593
0.020000,9.836339,11.083333,0.164316,1.441711,6.553234,0.000000,3.141593
0.020000,9.804884,11.083333,0.195772,1.572776,6.553234,0.000000,3.141593
0.020000,9.770807,11.083333,0.229848,1.703841,6.553234,-0.000000,3.141593
0.020000,9.734109,11.083333,0.266546,1.834905,6.553234,0.000000,3.141593
0.020000,9.694789,11.083333,0.305866,1.965970,6.553234,-0.000000,3.141593
0.020000,9.652849,11.083333,0.347807,2.097035,6.553234,0.000000,3.141593
0.020000,9.608287,11.083333,0.392369,2.228099,6.553234,-0.000000,3.141593
0.020000,9.561103,11.083333,0.439552,2.359164,6.553234,0.000000,3.141593
0.020000,9.511299,11.083333,0.489356,2.490229,6.553234,-0.000000,3.141593
0.020000,9.458873,11.083333,0.541782,2.621293,6.553234,0.000000,3.141593
0.020000,9.403826,11.083333,0.596829,2.752358,6.553234,-0.000000,3.141593
0.020000,9.346157,11.083333,0.654498,2.883423,6.553234,0.000000,3.141593
0.020000,9.285868,11.083333,0.714788,3.014487,6.553234,-0.000000,3.141593
0.020000,9.222957,11.083333,0.777699,3.145552,6.553234,0.000000,3.141593
0.020000,9.157424,11.083333,0.843231,3.276617,6.553234,-0.000000,3.141593
0.020000,9.089271,11.083333,0.911385,3.407682,6.553234,0.000000,3.141593
0.020000,9.018496,11.083333,0.982160,3.538746,6.553234,0.000000,3.141593
0.020000,8.945100,11.083333,1.055556,3.669811,6.553234,-0.000000,3.141593
0.020000,8.869082,11.083333,1.131573,3.800876,6.553234,0.000000,3.141593
0.020000,8.790443,11.083333,1.210212,3.931940,6.553234,-0.000000,3.141593
0.020000,8.709183,11.083333,1.291472,4.063005,6.553234,0.000000,3.141593
0.020000,8.625302,11.083333,1.375354,4.194070,6.553234,0.000000,3.141593
0.020000,8.538799,11.083333,1.461856,4.325134,6.553234,0.000000,3.141593
0.020000,8.449675,11.083333,1.550980,4.456199,6.553234,-0.000000,3.141593
0.020000,8.357930,11.083333,1.642726,4.587264,6.553234,0.000000,3.141593
0.020000,8.263563,11.083333,1.737092,4.718328,6.553234,-0.000000,3.141593
0.020000,8.166575,11.083333,1.834080,4.849393,6.553234,0.000000,3.141593
0.020000,8.066966,11.083333,1.933689,4.980458,6.553234,-0.000000,3.141593
0.020000,7.964736,11.083333,2.035920,5.111522,6.553234,0.000000,3.141593
0.020000,7.859884,11.083333,2.140771,5.242587,6.553234,-0.000000,3.141593
0.020000,7.752411,11.083333,2.248244,5.373652,6.553234,0.000000,3.141593
0.020000,7.642317,11.083333,2.358339,5.504716,6.553234,0.000000,3.141593
0.020000,7.529601,11.083333,2.471054,5.635781,6.553234,0.000000,3.141593
0.020000,7.414264,11.083333,2.586391,5.766846,6.553234,-0.000000,3.141593
0.020000,7.296306,11.083333,2.704349,5.897910,6.553234,0.000000,3.141593
0.020000,7.175726,11.083333,2.824929,6.028975,6.553234,0.000000,3.141593
0.020000,7.052526,11.083333,2.948130,6.160040,6.553234,0.000000,3.141593
0.020000,6.926704,11.083333,3.073952,6.291104,6.553234,0.000000,3.141593
0.020000,6.798260,11.083333,3.202395,6.422169,6.553234,-0.000000,3.141593
0.020000,6.667196,11.083333,3.333460,6.553234,6.553234,0.000000,3.141593
0.020000,6.533510,11.083333,3.467146,6.684298,6.553234,-0.000000,3.141593
0.020000,6.397202,11.083333,3.603453,6.815363,6.553234,0.000000,3.141593
0.020000,6.258274,11.083333,3.742382,6.946428,6.553234,-0.000000,3.141593
0.020000,6.116724,11.083333,3.883931,7.077492,6.553234,0.000000,3.141593
0.020000,5.972553,11.083333,4.028103,7.208557,6.553234,0.000000,3.141593
0.020000,5.825760,11.083333,4.174895,7.339622,6.553234,0.000000,3.141593
0.020000,5.676347,11.083333,4.324309,7.470686,6.553234,-0.000000,3.141593
0.020000,5.524312,11.083333,4.476344,7.601751,6.553234,0.000000,3.141593
0.020000,5.369655,11.083333,4.631000,7.732816,6.553234,0.000000,3.141593
0.020000,5.212378,11.083333,4.788278,7.863880,6.553234,0.000000,3.141593
0.020000,5.053134,11.083333,4.947521,7.962179,4.914925,-81.915421,3.141593
0.020000,4.893496,11.083333,5.107159,7.981906,0.986353,-196.428589,3.141593
0.020000,4.735035,11.083333,5.265621,7.923062,-2.942218,-196.428589,3.141593
0.020000,4.578800,11.083333,5.421855,7.811724,-5.566880,-131.233094,3.141593
0.020000,4.425187,11.083333,5.575468,7.680659,-6.553234,-49.317674,3.141593
0.020000,4.274195,11.083333,5.726460,7.549595,-6.553234,-0.000000,3.141593
0.020000,4.125825,11.083333,5.874831,7.418530,-6.553234,0.000000,3.141593
0.020000,3.980075,11.083333,6.020580,7.287465,-6.553234,-0.000000,3.141593
0.020000,3.836947,11.083333,6.163708,7.156401,-6.553234,0.000000,3.141593
0.020000,3.696440,11.083333,6.304215,7.025336,-6.553234,-0.000000,3.141593
0.020000,3.558555,11.083333,6.442100,6.894271,-6.553234,0.000000,3.141593
