dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,12.190521,12.544457,0.000652,0.065220,3.261015,163.050732,3.927629
0.020000,12.190320,12.544255,0.000938,0.014265,-2.547767,-290.439071,3.927366
0.020000,12.188853,12.542789,0.003011,0.103678,4.470672,350.921952,3.926839
0.020000,12.182711,12.536653,0.011693,0.434121,16.522123,602.572556,3.926049
0.020000,12.174513,12.528479,0.023270,0.578831,7.235512,-464.330574,3.924995
0.020000,12.164253,12.518273,0.037741,0.723562,7.236563,0.052546,3.923678
0.020000,12.151923,12.506044,0.055107,0.868287,7.236232,-0.016521,3.922097
0.020000,12.137513,12.491801,0.075368,1.013048,7.238063,0.091522,3.920251
0.020000,12.121012,12.475556,0.098524,1.157798,7.237485,-0.028885,3.918142
0.020000,12.102407,12.457320,0.124575,1.302561,7.238143,0.032884,3.915768
0.020000,12.081684,12.437110,0.153522,1.447360,7.239949,0.090329,3.913128
0.020000,12.058825,12.414941,0.185365,1.592147,7.239350,-0.029957,3.910224
0.020000,12.033814,12.390832,0.220105,1.736962,7.240743,0.069659,3.907055
0.020000,12.006632,12.364802,0.257740,1.881774,7.240628,-0.005772,3.903620
0.020000,11.977258,12.336873,0.298272,2.026604,7.241480,0.042588,3.899920
0.020000,11.945670,12.307070,0.341701,2.171427,7.241157,-0.016138,3.895954
0.020000,11.911845,12.275416,0.388026,2.316261,7.241725,0.028387,3.891722
0.020000,11.875759,12.241941,0.437248,2.461087,7.241276,-0.022445,3.887225
0.020000,11.837386,12.206674,0.489366,2.605899,7.240621,-0.032726,3.882463
0.020000,11.796699,12.169646,0.544380,2.750693,7.239677,-0.047219,3.877435
0.020000,11.753671,12.130890,0.602289,2.895462,7.238466,-0.060564,3.872143
0.020000,11.708271,12.090443,0.663093,3.040196,7.236693,-0.088653,3.866587
0.020000,11.660470,12.048342,0.726790,3.184885,7.234426,-0.113312,3.860768
0.020000,11.610238,12.004627,0.793381,3.329512,7.231359,-0.153389,3.854687
0.020000,11.557542,11.959341,0.862862,3.474069,7.227834,-0.176207,3.848346
0.020000,11.502352,11.912527,0.935233,3.618535,7.223312,-0.226142,3.841745
0.020000,11.444632,11.864234,1.010491,3.762906,7.218555,-0.237805,3.834887
0.020000,11.384352,11.814508,1.088634,3.907159,7.212672,-0.294196,3.827775
0.020000,11.321476,11.763403,1.169659,4.051261,7.205098,-0.378668,3.820410
0.020000,11.255972,11.710971,1.253564,4.195215,7.197679,-0.370960,3.812795
0.020000,11.187805,11.657268,1.340343,4.338977,7.188126,-0.477650,3.804935
0.020000,11.116943,11.602352,1.429994,4.482546,7.178429,-0.484837,3.796832
0.020000,11.043351,11.546283,1.522512,4.625882,7.166808,-0.581082,3.788491
0.020000,10.966997,11.489123,1.617891,4.768956,7.153710,-0.654862,3.779917
0.020000,10.887847,11.430938,1.716126,4.911760,7.140173,-0.676865,3.771115
0.020000,10.805872,11.371793,1.817211,5.054244,7.124210,-0.798163,3.762090
0.020000,10.721039,11.311757,1.921139,5.196392,7.107406,-0.840203,3.752849
0.020000,10.633318,11.250900,2.027902,5.338170,7.088911,-0.924731,3.743399
0.020000,10.542682,11.189294,2.137493,5.479546,7.068796,-1.005749,3.733747
0.020000,10.449103,11.127012,2.249903,5.620497,7.047556,-1.061998,3.723900
0.020000,10.352555,11.064131,2.365123,5.760979,7.024064,-1.174590,3.713869
0.020000,10.253015,11.000726,2.483142,5.900969,6.999516,-1.227436,3.703661
0.020000,10.150459,10.936874,2.603951,6.040435,6.973283,-1.311636,3.693286
0.020000,10.044867,10.872654,2.727537,6.179341,6.945333,-1.397496,3.682755
0.020000,9.936222,10.808146,2.853891,6.317665,6.916176,-1.457853,3.672079
0.020000,9.824507,10.743427,2.982998,6.455370,6.885243,-1.546669,3.661268
0.020000,9.709708,10.678579,3.114847,6.592434,6.853242,-1.600054,3.650335
0.020000,9.591814,10.613681,3.249423,6.728829,6.819704,-1.676902,3.639292
0.020000,9.470815,10.548812,3.386714,6.864528,6.784951,-1.737650,3.628152
0.020000,9.346705,10.484051,3.526704,6.999511,6.749151,-1.789973,3.616929
0.020000,9.219480,10.419476,3.669379,7.133757,6.712302,-1.842437,3.605634
0.020000,9.089137,10.355165,3.814724,7.267248,6.674554,-1.887406,3.594284
0.020000,8.955678,10.291193,3.962724,7.399969,6.636043,-1.925552,3.582891
0.020000,8.819105,10.227635,4.113362,7.531907,6.596936,-1.955359,3.571471
0.020000,8.679424,10.164561,4.266623,7.663054,6.557333,-1.980148,3.560038
0.020000,8.536643,10.102043,4.422491,7.793403,6.517454,-1.993944,3.548606
0.020000,8.390773,10.040148,4.580950,7.922949,6.477295,-2.007948,3.537191
0.020000,8.241824,9.978942,4.741984,8.051691,6.437084,-2.010559,3.525807
0.020000,8.089812,9.918486,4.905576,8.179638,6.397352,-1.986597,3.514470
0.020000,7.934753,9.858840,5.071712,8.306785,6.357384,-1.998395,3.503193
0.020000,7.776664,9.800059,5.240375,8.433146,6.318010,-1.968700,3.491991
0.020000,7.615565,9.742197,5.411550,8.558737,6.279569,-1.922055,3.480879
0.020000,7.451478,9.685303,5.585221,8.683560,6.241154,-1.920729,3.469870
0.020000,7.284424,9.629422,5.761374,8.807638,6.203921,-1.861678,3.458979
0.020000,7.114426,9.574595,5.939994,8.930989,6.167512,-1.820468,3.448219
0.020000,6.941511,9.520861,6.121066,9.053628,6.131987,-1.776230,3.437603
0.020000,6.765701,9.468252,6.304578,9.175582,6.097703,-1.714206,3.427144
0.020000,6.587025,9.416799,6.490515,9.296860,6.063879,-1.691213,3.416854
0.020000,6.406175,9.366709,6.678173,9.382912,4.302584,-88.064704,3.406781
0.020000,6.225004,9.318458,6.865660,9.374338,-0.428678,-236.563105,3.397030
0.020000,6.045365,9.272446,7.051098,9.271880,-5.122891,-234.710649,3.387692
0.020000,5.868140,9.228771,7.233625,9.126378,-7.275142,-107.612557,3.378795
0.020000,5.694785,9.187793,7.411758,8.906623,-10.987721,-185.628975,3.366357
0.020000,5.511501,9.147670,7.599382,9.381214,23.729540,1735.863041,3.347937
0.020000,5.330988,9.111545,7.783474,9.204626,-8.829396,-1627.946795,3.330369
0.020000,5.153363,9.079153,7.964028,9.027697,-8.846464,-0.853366,3.313660
0.020000,4.978726,9.050236,8.141044,8.850763,-8.846663,-0.009943,3.297809
0.020000,4.807157,9.024539,8.314526,8.674115,-8.832424,0.711937,3.282811
0.020000,4.638723,9.001816,8.484486,8.498005,-8.805483,1.347053,3.268657
0.020000,4.473474,8.981830,8.650939,8.322650,-8.767749,1.886663,3.255332
0.020000,4.311449,8.964355,8.813904,8.148236,-8.720692,2.352864,3.242820
0.020000,4.152675,8.949175,8.973402,7.974911,-8.666298,2.719685,3.231099
0.020000,3.997169,8.936083,9.129458,7.802793,-8.605891,3.020367,3.220147
0.020000,3.844941,8.924888,9.282097,7.631980,-8.540651,3.261997,3.209941
0.020000,3.695991,8.915408,9.431348,7.462542,-8.471863,3.439407,3.200455
0.020000,3.550317,8.907471,9.577239,7.294532,-8.400536,3.566337,3.191663
0.020000,3.407908,8.900920,9.719798,7.127982,-8.327477,3.652989,3.183538
0.020000,3.268751,8.895607,9.859057,6.962913,-8.253446,3.701550,3.176051
0.020000,3.132829,8.891394,9.995043,6.799332,-8.179051,3.719709,3.169177
0.020000,3.000124,8.888154,10.127788,6.637237,-8.104749,3.715101,3.162887
0.020000,2.870614,8.885772,10.257320,6.476617,-8.031030,3.685979,3.157155
0.020000,2.744275,8.884138,10.383670,6.317455,-7.958102,3.646364,3.151952
0.020000,2.621085,8.883155,10.506864,6.159728,-7.886346,3.587836,3.147254
0.020000,2.501017,8.882733,10.626932,6.003411,-7.815851,3.524723,3.143033
0.020000,2.384048,8.882788,10.743902,5.848474,-7.746832,3.450953,3.139264
0.020000,2.270151,8.883247,10.857800,5.694886,-7.679388,3.372226,3.135923
0.020000,2.159301,8.884041,10.968652,5.542615,-7.613554,3.291668,3.132984
0.020000,2.051474,8.885110,11.076484,5.391627,-7.549422,3.206628,3.130426
0.020000,1.946644,8.886398,11.181322,5.241887,-7.487000,3.121104,3.128223
0.020000,1.844788,8.887858,11.283189,5.093361,-7.426293,3.035348,3.126354
0.020000,1.745880,8.889444,11.382110,4.946014,-7.367320,2.948638,3.124798
0.020000,1.649898,8.891119,11.478106,4.799813,-7.310054,2.863280,3.123532
0.020000,1.556820,8.892848,11.571200,4.654724,-7.254482,2.778616,3.122537
0.020000,1.466623,8.894602,11.661415,4.510712,-7.200610,2.693580,3.121792
0.020000,1.379285,8.896356,11.748769,4.367744,-7.148369,2.612093,3.121279
0.020000,1.294787,8.898087,11.833285,4.225789,-7.097776,2.529643,3.120978
0.020000,1.213109,8.899776,11.914981,4.084813,-7.048796,2.449005,3.120872
0.020000,1.134230,8.901409,11.993877,3.944785,-7.001404,2.369588,3.120943
0.020000,1.058132,8.902973,12.069991,3.805673,-6.955585,2.290943,3.121174
0.020000,0.984799,8.904458,12.143340,3.667446,-6.911324,2.213036,3.121548
0.020000,0.914211,8.905856,12.213941,3.530074,-6.868602,2.136119,3.122051
0.020000,0.846353,8.907162,12.281812,3.393526,-6.827396,2.060282,3.122666
0.020000,0.781209,8.908373,12.346967,3.257772,-6.787728,1.983414,3.123379
0.020000,0.718763,8.909486,12.409423,3.122781,-6.749548,1.909014,3.124177
0.020000,0.659001,8.910501,12.469193,2.988523,-6.712876,1.833608,3.125044
0.020000,0.601909,8.911420,12.526292,2.854969,-6.677702,1.758671,3.125970
0.020000,0.547474,8.912245,12.580734,2.722089,-6.644011,1.684584,3.126940
0.020000,0.495682,8.912978,12.632531,2.589853,-6.611820,1.609529,3.127944
0.020000,0.446521,8.913624,12.681696,2.458230,-6.581122,1.534884,3.128969
0.020000,0.399981,8.914188,12.728240,2.327192,-6.551900,1.461087,3.130005
0.020000,0.356050,8.914674,12.772174,2.196708,-6.524195,1.385272,3.131043
0.020000,0.314717,8.915089,12.813509,2.066749,-6.497970,1.311242,3.132071
0.020000,0.275973,8.915439,12.852255,1.937284,-6.473237,1.236670,3.133081
